DATE,STATION_NUMBER,DISCHARGE
2015-01-01,05AJ001,67.80000305175781
2015-01-02,05AJ001,62.79999923706055
2015-01-03,05AJ001,59.70000076293945
2015-01-04,05AJ001,58.70000076293945
2015-01-05,05AJ001,61.5
2015-01-06,05AJ001,61.900001525878906
2015-01-07,05AJ001,59.0
2015-01-08,05AJ001,55.59999847412109
2015-01-09,05AJ001,58.400001525878906
2015-01-10,05AJ001,62.09999847412109
2015-01-11,05AJ001,69.80000305175781
2015-01-12,05AJ001,78.69999694824219
2015-01-13,05AJ001,86.5
2015-01-14,05AJ001,93.1999969482422
2015-01-15,05AJ001,99.6999969482422
2015-01-16,05AJ001,106.0
2015-01-17,05AJ001,113.0
2015-01-18,05AJ001,120.0
2015-01-19,05AJ001,125.0
2015-01-20,05AJ001,126.0
2015-01-21,05AJ001,126.0
2015-01-22,05AJ001,123.0
2015-01-23,05AJ001,121.0
2015-01-24,05AJ001,120.0
2015-01-25,05AJ001,122.0
2015-01-26,05AJ001,126.0
2015-01-27,05AJ001,130.0
2015-01-28,05AJ001,131.0
2015-01-29,05AJ001,129.0
2015-01-30,05AJ001,125.0
2015-01-31,05AJ001,119.0
2015-02-01,05AJ001,116.0
2015-02-02,05AJ001,116.0
2015-02-03,05AJ001,118.0
2015-02-04,05AJ001,115.0
2015-02-05,05AJ001,105.0
2015-02-06,05AJ001,104.0
2015-02-07,05AJ001,107.0
2015-02-08,05AJ001,108.0
2015-02-09,05AJ001,106.0
2015-02-10,05AJ001,102.0
2015-02-11,05AJ001,99.3000030517578
2015-02-12,05AJ001,101.0
2015-02-13,05AJ001,105.0
2015-02-14,05AJ001,112.0
2015-02-15,05AJ001,120.0
2015-02-16,05AJ001,129.0
2015-02-17,05AJ001,139.0
2015-02-18,05AJ001,146.0
2015-02-19,05AJ001,148.0
2015-02-20,05AJ001,147.0
2015-02-21,05AJ001,149.0
2015-02-22,05AJ001,150.0
2015-02-23,05AJ001,147.0
2015-02-24,05AJ001,142.0
2015-02-25,05AJ001,137.0
2015-02-26,05AJ001,139.0
2015-02-27,05AJ001,154.0
2015-02-28,05AJ001,152.0
2015-03-01,05AJ001,138.0
2015-03-02,05AJ001,132.0
2015-03-03,05AJ001,134.0
2015-03-04,05AJ001,136.0
2015-03-05,05AJ001,133.0
2015-03-06,05AJ001,132.0
2015-03-07,05AJ001,132.0
2015-03-08,05AJ001,134.0
2015-03-09,05AJ001,145.0
2015-03-10,05AJ001,147.0
2015-03-11,05AJ001,151.0
2015-03-12,05AJ001,162.0
2015-03-13,05AJ001,169.0
2015-03-14,05AJ001,181.0
2015-03-15,05AJ001,210.0
2015-03-16,05AJ001,203.0
2015-03-17,05AJ001,197.0
2015-03-18,05AJ001,207.0
2015-03-19,05AJ001,197.0
2015-03-20,05AJ001,218.0
2015-03-21,05AJ001,238.0
2015-03-22,05AJ001,223.0
2015-03-23,05AJ001,232.0
2015-03-24,05AJ001,231.0
2015-03-25,05AJ001,225.0
2015-03-26,05AJ001,225.0
2015-03-27,05AJ001,228.0
2015-03-28,05AJ001,230.0
2015-03-29,05AJ001,224.0
2015-03-30,05AJ001,214.0
2015-03-31,05AJ001,218.0
2015-04-01,05AJ001,227.0
2015-04-02,05AJ001,241.0
2015-04-03,05AJ001,246.0
2015-04-04,05AJ001,244.0
2015-04-05,05AJ001,248.0
2015-04-06,05AJ001,243.0
2015-04-07,05AJ001,234.0
2015-04-08,05AJ001,225.0
2015-04-09,05AJ001,221.0
2015-04-10,05AJ001,214.0
2015-04-11,05AJ001,209.0
2015-04-12,05AJ001,204.0
2015-04-13,05AJ001,196.0
2015-04-14,05AJ001,196.0
2015-04-15,05AJ001,196.0
2015-04-16,05AJ001,171.0
2015-04-17,05AJ001,155.0
2015-04-18,05AJ001,130.0
2015-04-19,05AJ001,109.0
2015-04-20,05AJ001,106.0
2015-04-21,05AJ001,97.0999984741211
2015-04-22,05AJ001,93.3000030517578
2015-04-23,05AJ001,93.8000030517578
2015-04-24,05AJ001,97.9000015258789
2015-04-25,05AJ001,103.0
2015-04-26,05AJ001,99.4000015258789
2015-04-27,05AJ001,94.3000030517578
2015-04-28,05AJ001,92.0999984741211
2015-04-29,05AJ001,88.80000305175781
2015-04-30,05AJ001,86.4000015258789
2015-05-01,05AJ001,92.6999969482422
2015-05-02,05AJ001,90.4000015258789
2015-05-03,05AJ001,89.5999984741211
2015-05-04,05AJ001,90.3000030517578
2015-05-05,05AJ001,94.3000030517578
2015-05-06,05AJ001,102.0
2015-05-07,05AJ001,101.0
2015-05-08,05AJ001,100.0
2015-05-09,05AJ001,103.0
2015-05-10,05AJ001,106.0
2015-05-11,05AJ001,107.0
2015-05-12,05AJ001,112.0
2015-05-13,05AJ001,128.0
2015-05-14,05AJ001,121.0
2015-05-15,05AJ001,110.0
2015-05-16,05AJ001,109.0
2015-05-17,05AJ001,111.0
2015-05-18,05AJ001,120.0
2015-05-19,05AJ001,124.0
2015-05-20,05AJ001,130.0
2015-05-21,05AJ001,175.0
2015-05-22,05AJ001,159.0
2015-05-23,05AJ001,139.0
2015-05-24,05AJ001,126.0
2015-05-25,05AJ001,112.0
2015-05-26,05AJ001,109.0
2015-05-27,05AJ001,129.0
2015-05-28,05AJ001,150.0
2015-05-29,05AJ001,161.0
2015-05-30,05AJ001,160.0
2015-05-31,05AJ001,195.0
2015-06-01,05AJ001,213.0
2015-06-02,05AJ001,276.0
2015-06-03,05AJ001,299.0
2015-06-04,05AJ001,328.0
2015-06-05,05AJ001,449.0
2015-06-06,05AJ001,498.0
2015-06-07,05AJ001,437.0
2015-06-08,05AJ001,377.0
2015-06-09,05AJ001,335.0
2015-06-10,05AJ001,305.0
2015-06-11,05AJ001,263.0
2015-06-12,05AJ001,237.0
2015-06-13,05AJ001,225.0
2015-06-14,05AJ001,229.0
2015-06-15,05AJ001,249.0
2015-06-16,05AJ001,230.0
