DATE,STATION_NUMBER,DISCHARGE
2015-01-01,05BE999,42.09999847412109
2015-01-02,05BE999,42.09999847412109
2015-01-03,05BE999,54.70000076293945
2015-01-04,05BE999,42.20000076293945
2015-01-05,05BE999,42.20000076293945
2015-01-06,05BE999,55.09999847412109
2015-01-07,05BE999,55.5
2015-01-08,05BE999,55.59999847412109
2015-01-09,05BE999,60.29999923706055
2015-01-10,05BE999,59.70000076293945
2015-01-11,05BE999,59.5
2015-01-12,05BE999,59.400001525878906
2015-01-13,05BE999,54.900001525878906
2015-01-14,05BE999,54.59999847412109
2015-01-15,05BE999,59.09999847412109
2015-01-16,05BE999,59.29999923706055
2015-01-17,05BE999,59.400001525878906
2015-01-18,05BE999,59.20000076293945
2015-01-19,05BE999,64.5
2015-01-20,05BE999,58.900001525878906
2015-01-21,05BE999,60.0
2015-01-22,05BE999,59.79999923706055
2015-01-23,05BE999,59.900001525878906
2015-01-24,05BE999,59.79999923706055
2015-01-25,05BE999,50.5
2015-01-26,05BE999,50.20000076293945
2015-01-27,05BE999,59.5
2015-01-28,05BE999,59.400001525878906
2015-01-29,05BE999,59.79999923706055
2015-01-30,05BE999,68.5
2015-01-31,05BE999,69.0
2015-02-01,05BE999,68.19999694824219
2015-02-02,05BE999,68.19999694824219
2015-02-03,05BE999,71.19999694824219
2015-02-04,05BE999,64.5
2015-02-05,05BE999,50.20000076293945
2015-02-06,05BE999,50.400001525878906
2015-02-07,05BE999,59.29999923706055
2015-02-08,05BE999,59.79999923706055
2015-02-09,05BE999,59.400001525878906
2015-02-10,05BE999,59.5
2015-02-11,05BE999,58.79999923706055
2015-02-12,05BE999,83.19999694824219
2015-02-13,05BE999,59.900001525878906
2015-02-14,05BE999,75.4000015258789
2015-02-15,05BE999,77.80000305175781
2015-02-16,05BE999,64.5999984741211
2015-02-17,05BE999,75.19999694824219
2015-02-18,05BE999,75.4000015258789
2015-02-19,05BE999,50.5
2015-02-20,05BE999,74.0
2015-02-21,05BE999,71.30000305175781
2015-02-22,05BE999,66.9000015258789
2015-02-23,05BE999,61.900001525878906
2015-02-24,05BE999,70.80000305175781
2015-02-25,05BE999,66.4000015258789
2015-02-26,05BE999,66.0999984741211
2015-02-27,05BE999,66.69999694824219
2015-02-28,05BE999,65.30000305175781
2015-03-01,05BE999,65.5
2015-03-02,05BE999,66.80000305175781
2015-03-03,05BE999,62.900001525878906
2015-03-04,05BE999,61.0
2015-03-05,05BE999,62.79999923706055
2015-03-06,05BE999,60.70000076293945
2015-03-07,05BE999,70.5
2015-03-08,05BE999,61.900001525878906
2015-03-09,05BE999,62.09999847412109
2015-03-10,05BE999,65.30000305175781
2015-03-11,05BE999,66.30000305175781
2015-03-12,05BE999,71.5
2015-03-13,05BE999,53.79999923706055
2015-03-14,05BE999,70.69999694824219
2015-03-15,05BE999,69.69999694824219
2015-03-16,05BE999,71.30000305175781
2015-03-17,05BE999,71.30000305175781
2015-03-18,05BE999,70.80000305175781
2015-03-19,05BE999,70.5999984741211
2015-03-20,05BE999,66.80000305175781
2015-03-21,05BE999,64.9000015258789
2015-03-22,05BE999,64.69999694824219
2015-03-23,05BE999,67.0
2015-03-24,05BE999,47.20000076293945
2015-03-25,05BE999,62.20000076293945
2015-03-26,05BE999,60.70000076293945
2015-03-27,05BE999,61.5
2015-03-28,05BE999,63.0
2015-03-29,05BE999,64.0999984741211
2015-03-30,05BE999,67.5
2015-03-31,05BE999,66.4000015258789
2015-04-01,05BE999,68.4000015258789
2015-04-02,05BE999,68.0999984741211
2015-04-03,05BE999,68.69999694824219
2015-04-04,05BE999,63.900001525878906
2015-04-05,05BE999,59.0
2015-04-06,05BE999,58.900001525878906
2015-04-07,05BE999,57.20000076293945
2015-04-08,05BE999,54.900001525878906
2015-04-09,05BE999,63.59999847412109
2015-04-10,05BE999,61.20000076293945
2015-04-11,05BE999,54.5
2015-04-12,05BE999,49.79999923706055
2015-04-13,05BE999,49.79999923706055
2015-04-14,05BE999,49.900001525878906
2015-04-15,05BE999,49.400001525878906
2015-04-16,05BE999,51.20000076293945
2015-04-17,05BE999,53.09999847412109
2015-04-18,05BE999,58.09999847412109
2015-04-19,05BE999,58.29999923706055
2015-04-20,05BE999,53.70000076293945
2015-04-21,05BE999,62.400001525878906
2015-04-22,05BE999,57.59999847412109
2015-04-23,05BE999,57.59999847412109
2015-04-24,05BE999,58.70000076293945
2015-04-25,05BE999,71.5
2015-04-26,05BE999,78.80000305175781
2015-04-27,05BE999,82.5999984741211
2015-04-28,05BE999,62.20000076293945
2015-04-29,05BE999,71.4000015258789
2015-04-30,05BE999,61.900001525878906
2015-05-01,05BE999,59.09999847412109
2015-05-02,05BE999,59.79999923706055
2015-05-03,05BE999,63.59999847412109
2015-05-04,05BE999,89.69999694824219
2015-05-05,05BE999,112.0
2015-05-06,05BE999,102.0
2015-05-07,05BE999,96.5999984741211
2015-05-08,05BE999,101.0
2015-05-09,05BE999,92.6999969482422
2015-05-10,05BE999,80.4000015258789
2015-05-11,05BE999,72.9000015258789
2015-05-12,05BE999,88.4000015258789
2015-05-13,05BE999,102.0
2015-05-14,05BE999,101.0
2015-05-15,05BE999,102.0
2015-05-16,05BE999,104.0
2015-05-17,05BE999,105.0
2015-05-18,05BE999,104.0
2015-05-19,05BE999,105.0
2015-05-20,05BE999,113.0
2015-05-21,05BE999,131.0
2015-05-22,05BE999,144.0
2015-05-23,05BE999,157.0
2015-05-24,05BE999,161.0
2015-05-25,05BE999,144.0
2015-05-26,05BE999,155.0
2015-05-27,05BE999,156.0
2015-05-28,05BE999,150.0
2015-05-29,05BE999,194.0
2015-05-30,05BE999,213.0
2015-05-31,05BE999,210.0
2015-06-01,05BE999,219.0
2015-06-02,05BE999,216.0
2015-06-03,05BE999,212.0
2015-06-04,05BE999,209.0
2015-06-05,05BE999,207.0
2015-06-06,05BE999,193.0
2015-06-07,05BE999,176.0
2015-06-08,05BE999,177.0
2015-06-09,05BE999,179.0
2015-06-10,05BE999,196.0
2015-06-11,05BE999,210.0
2015-06-12,05BE999,211.0
2015-06-13,05BE999,202.0
2015-06-14,05BE999,128.0
2015-06-15,05BE999,119.0
2015-06-16,05BE999,110.0
2015-06-17,05BE999,94.1999969482422
2015-06-18,05BE999,81.30000305175781
2015-06-19,05BE999,82.69999694824219
2015-06-20,05BE999,86.0
2015-06-21,05BE999,84.69999694824219
2015-06-22,05BE999,88.0
2015-06-23,05BE999,83.80000305175781
2015-06-24,05BE999,82.80000305175781
2015-06-25,05BE999,80.80000305175781
2015-06-26,05BE999,88.0
2015-06-27,05BE999,86.19999694824219
2015-06-28,05BE999,92.6999969482422
2015-06-29,05BE999,93.0999984741211
2015-06-30,05BE999,82.0
2015-07-01,05BE999,82.9000015258789
2015-07-02,05BE999,94.5
2015-07-03,05BE999,128.0
2015-07-04,05BE999,132.0
2015-07-05,05BE999,131.0
2015-07-06,05BE999,118.0
2015-07-07,05BE999,108.0
2015-07-08,05BE999,107.0
2015-07-09,05BE999,106.0
2015-07-10,05BE999,99.0
2015-07-11,05BE999,102.0
2015-07-12,05BE999,101.0
2015-07-13,05BE999,104.0
2015-07-14,05BE999,103.0
2015-07-15,05BE999,98.3000030517578
2015-07-16,05BE999,110.0
2015-07-17,05BE999,112.0
2015-07-18,05BE999,110.0
2015-07-19,05BE999,106.0
2015-07-20,05BE999,103.0
2015-07-21,05BE999,103.0
2015-07-22,05BE999,93.5999984741211
2015-07-23,05BE999,99.0
2015-07-24,05BE999,93.9000015258789
2015-07-25,05BE999,89.80000305175781
2015-07-26,05BE999,90.3000030517578
2015-07-27,05BE999,82.0999984741211
2015-07-28,05BE999,76.5999984741211
2015-07-29,05BE999,70.30000305175781
2015-07-30,05BE999,81.69999694824219
2015-07-31,05BE999,76.4000015258789
2015-08-01,05BE999,66.30000305175781
2015-08-02,05BE999,68.5999984741211
2015-08-03,05BE999,62.20000076293945
2015-08-04,05BE999,60.900001525878906
2015-08-05,05BE999,69.80000305175781
2015-08-06,05BE999,80.5
2015-08-07,05BE999,84.5
2015-08-08,05BE999,92.3000030517578
2015-08-09,05BE999,84.30000305175781
2015-08-10,05BE999,76.19999694824219
2015-08-11,05BE999,72.9000015258789
2015-08-12,05BE999,66.80000305175781
2015-08-13,05BE999,69.80000305175781
2015-08-14,05BE999,64.9000015258789
2015-08-15,05BE999,78.30000305175781
2015-08-16,05BE999,78.5
2015-08-17,05BE999,86.30000305175781
2015-08-18,05BE999,97.8000030517578
2015-08-19,05BE999,69.19999694824219
2015-08-20,05BE999,66.5999984741211
2015-08-21,05BE999,62.5
2015-08-22,05BE999,73.5999984741211
2015-08-23,05BE999,81.69999694824219
2015-08-24,05BE999,68.5
2015-08-25,05BE999,77.80000305175781
2015-08-26,05BE999,62.59999847412109
2015-08-27,05BE999,77.4000015258789
2015-08-28,05BE999,74.9000015258789
2015-08-29,05BE999,72.19999694824219
2015-08-30,05BE999,70.5999984741211
2015-08-31,05BE999,61.20000076293945
2015-09-01,05BE999,61.59999847412109
2015-09-02,05BE999,61.59999847412109
2015-09-03,05BE999,65.5999984741211
2015-09-04,05BE999,63.29999923706055
2015-09-05,05BE999,62.20000076293945
2015-09-06,05BE999,63.70000076293945
2015-09-07,05BE999,72.0
2015-09-08,05BE999,71.0999984741211
2015-09-09,05BE999,71.80000305175781
2015-09-10,05BE999,64.0999984741211
2015-09-11,05BE999,69.19999694824219
2015-09-12,05BE999,85.69999694824219
2015-09-13,05BE999,90.5
2015-09-14,05BE999,71.4000015258789
2015-09-15,05BE999,64.5999984741211
2015-09-16,05BE999,60.400001525878906
2015-09-17,05BE999,66.0999984741211
2015-09-18,05BE999,66.80000305175781
2015-09-19,05BE999,66.5
2015-09-20,05BE999,66.0
2015-09-21,05BE999,64.0999984741211
2015-09-22,05BE999,78.19999694824219
2015-09-23,05BE999,122.0
2015-09-24,05BE999,122.0
2015-09-25,05BE999,95.9000015258789
2015-09-26,05BE999,75.0999984741211
2015-09-27,05BE999,103.0
2015-09-28,05BE999,93.5
2015-09-29,05BE999,68.69999694824219
2015-09-30,05BE999,87.9000015258789
2015-10-01,05BE999,90.0
2015-10-02,05BE999,89.5
2015-10-03,05BE999,85.30000305175781
2015-10-04,05BE999,92.9000015258789
2015-10-05,05BE999,52.09999847412109
2015-10-06,05BE999,95.5
2015-10-07,05BE999,57.70000076293945
2015-10-08,05BE999,67.4000015258789
2015-10-09,05BE999,66.0
2015-10-10,05BE999,64.4000015258789
2015-10-11,05BE999,69.0
2015-10-12,05BE999,63.20000076293945
2015-10-13,05BE999,71.30000305175781
2015-10-14,05BE999,77.5999984741211
2015-10-15,05BE999,80.4000015258789
2015-10-16,05BE999,77.30000305175781
2015-10-17,05BE999,79.5
2015-10-18,05BE999,77.19999694824219
2015-10-19,05BE999,68.0999984741211
2015-10-20,05BE999,63.59999847412109
2015-10-21,05BE999,62.59999847412109
2015-10-22,05BE999,67.0999984741211
2015-10-23,05BE999,62.70000076293945
2015-10-24,05BE999,65.80000305175781
2015-10-25,05BE999,62.400001525878906
2015-10-26,05BE999,68.9000015258789
2015-10-27,05BE999,68.80000305175781
2015-10-28,05BE999,62.29999923706055
2015-10-29,05BE999,60.59999847412109
2015-10-30,05BE999,70.19999694824219
2015-10-31,05BE999,57.900001525878906
2015-11-01,05BE999,57.79999923706055
2015-11-02,05BE999,57.09999847412109
2015-11-03,05BE999,55.400001525878906
2015-11-04,05BE999,58.20000076293945
2015-11-05,05BE999,58.09999847412109
2015-11-06,05BE999,59.79999923706055
2015-11-07,05BE999,64.0
2015-11-08,05BE999,59.79999923706055
2015-11-09,05BE999,53.70000076293945
2015-11-10,05BE999,58.59999847412109
2015-11-11,05BE999,59.20000076293945
2015-11-12,05BE999,58.79999923706055
2015-11-13,05BE999,60.400001525878906
2015-11-14,05BE999,59.09999847412109
2015-11-15,05BE999,59.20000076293945
2015-11-16,05BE999,65.0999984741211
2015-11-17,05BE999,63.29999923706055
2015-11-18,05BE999,62.400001525878906
2015-11-19,05BE999,58.400001525878906
2015-11-20,05BE999,57.900001525878906
2015-11-21,05BE999,57.5
2015-11-22,05BE999,53.79999923706055
2015-11-23,05BE999,50.20000076293945
2015-11-24,05BE999,51.20000076293945
2015-11-25,05BE999,48.0
2015-11-26,05BE999,45.20000076293945
2015-11-27,05BE999,35.29999923706055
2015-11-28,05BE999,43.900001525878906
2015-11-29,05BE999,43.79999923706055
2015-11-30,05BE999,45.5
2015-12-01,05BE999,45.70000076293945
2015-12-02,05BE999,46.400001525878906
2015-12-03,05BE999,55.09999847412109
2015-12-04,05BE999,54.70000076293945
2015-12-05,05BE999,49.900001525878906
2015-12-06,05BE999,50.0
2015-12-07,05BE999,50.400001525878906
2015-12-08,05BE999,54.70000076293945
2015-12-09,05BE999,59.0
2015-12-10,05BE999,58.70000076293945
2015-12-11,05BE999,59.20000076293945
2015-12-12,05BE999,54.900001525878906
2015-12-13,05BE999,54.29999923706055
2015-12-14,05BE999,57.59999847412109
2015-12-15,05BE999,57.09999847412109
2015-12-16,05BE999,58.29999923706055
2015-12-17,05BE999,57.5
2015-12-18,05BE999,57.70000076293945
2015-12-19,05BE999,53.400001525878906
2015-12-20,05BE999,53.400001525878906
2015-12-21,05BE999,58.400001525878906
2015-12-22,05BE999,58.29999923706055
2015-12-23,05BE999,60.400001525878906
2015-12-24,05BE999,58.400001525878906
2015-12-25,05BE999,60.900001525878906
2015-12-26,05BE999,51.0
2015-12-27,05BE999,59.79999923706055
2015-12-28,05BE999,68.5999984741211
2015-12-29,05BE999,59.400001525878906
2015-12-30,05BE999,58.400001525878906
2015-12-31,05BE999,54.29999923706055
2016-01-01,05BE999,55.09999847412109
