DATE,STATION_NUMBER,DISCHARGE
2015-01-01,05BH008,39.70000076293945
2015-01-02,05BH008,39.09999847412109
2015-01-03,05BH008,39.70000076293945
2015-01-04,05BH008,44.70000076293945
2015-01-05,05BH008,37.79999923706055
2015-01-06,05BH008,41.900001525878906
2015-01-07,05BH008,51.5
2015-01-08,05BH008,53.09999847412109
2015-01-09,05BH008,57.400001525878906
2015-01-10,05BH008,55.900001525878906
2015-01-11,05BH008,59.0
2015-01-12,05BH008,60.20000076293945
2015-01-13,05BH008,57.900001525878906
2015-01-14,05BH008,55.70000076293945
2015-01-15,05BH008,59.0
2015-01-16,05BH008,61.400001525878906
2015-01-17,05BH008,62.09999847412109
2015-01-18,05BH008,62.20000076293945
2015-01-19,05BH008,62.400001525878906
2015-01-20,05BH008,62.900001525878906
2015-01-21,05BH008,63.79999923706055
2015-01-22,05BH008,60.70000076293945
2015-01-23,05BH008,60.400001525878906
2015-01-24,05BH008,63.59999847412109
2015-01-25,05BH008,60.79999923706055
2015-01-26,05BH008,54.70000076293945
2015-01-27,05BH008,58.79999923706055
2015-01-28,05BH008,63.79999923706055
2015-01-29,05BH008,66.30000305175781
2015-01-30,05BH008,66.69999694824219
2015-01-31,05BH008,68.19999694824219
2015-02-01,05BH008,67.69999694824219
2015-02-02,05BH008,68.19999694824219
2015-02-03,05BH008,67.5999984741211
2015-02-04,05BH008,61.09999847412109
2015-02-05,05BH008,54.900001525878906
2015-02-06,05BH008,53.0
2015-02-07,05BH008,53.09999847412109
2015-02-08,05BH008,51.29999923706055
2015-02-09,05BH008,60.5
2015-02-10,05BH008,60.400001525878906
2015-02-11,05BH008,66.5
2015-02-12,05BH008,69.69999694824219
2015-02-13,05BH008,74.9000015258789
2015-02-14,05BH008,74.5999984741211
2015-02-15,05BH008,75.19999694824219
2015-02-16,05BH008,75.5999984741211
2015-02-17,05BH008,75.80000305175781
2015-02-18,05BH008,75.69999694824219
2015-02-19,05BH008,73.9000015258789
2015-02-20,05BH008,66.80000305175781
2015-02-21,05BH008,63.400001525878906
2015-02-22,05BH008,69.5999984741211
2015-02-23,05BH008,68.0999984741211
2015-02-24,05BH008,68.0999984741211
2015-02-25,05BH008,68.69999694824219
2015-02-26,05BH008,65.19999694824219
2015-02-27,05BH008,66.5
2015-02-28,05BH008,68.0
2015-03-01,05BH008,68.19999694824219
2015-03-02,05BH008,67.19999694824219
2015-03-03,05BH008,60.79999923706055
2015-03-04,05BH008,60.5
2015-03-05,05BH008,67.0999984741211
2015-03-06,05BH008,68.0999984741211
2015-03-07,05BH008,63.5
2015-03-08,05BH008,65.30000305175781
2015-03-09,05BH008,66.9000015258789
