DATE,STATION_NUMBER,DISCHARGE
2015-05-01,05DC011,0.4189999997615814
2015-05-02,05DC011,0.4230000078678131
2015-05-03,05DC011,0.4059999883174896
2015-05-04,05DC011,0.4000000059604645
2015-05-05,05DC011,0.4569999873638153
2015-05-06,05DC011,0.5400000214576721
2015-05-07,05DC011,0.5199999809265137
2015-05-08,05DC011,0.5600000023841858
2015-05-09,05DC011,0.6010000109672546
2015-05-10,05DC011,0.6650000214576721
2015-05-11,05DC011,0.7369999885559082
2015-05-12,05DC011,0.7820000052452087
2015-05-13,05DC011,0.7919999957084656
2015-05-14,05DC011,0.7990000247955322
2015-05-15,05DC011,0.8050000071525574
2015-05-16,05DC011,0.8569999933242798
2015-05-17,05DC011,0.8889999985694885
2015-05-18,05DC011,0.8870000243186951
2015-05-19,05DC011,0.8939999938011169
2015-05-20,05DC011,0.8999999761581421
2015-05-21,05DC011,0.9279999732971193
2015-05-22,05DC011,0.944000005722046
2015-05-23,05DC011,0.9570000171661376
2015-05-24,05DC011,0.9850000143051147
2015-05-25,05DC011,1.0099999904632568
2015-05-26,05DC011,1.0299999713897705
2015-05-27,05DC011,1.0800000429153442
2015-05-28,05DC011,1.1799999475479126
2015-05-29,05DC011,1.2100000381469729
2015-05-30,05DC011,1.2300000190734863
2015-05-31,05DC011,1.25
2015-06-01,05DC011,1.2599999904632568
2015-06-02,05DC011,1.3200000524520874
2015-06-03,05DC011,1.3300000429153442
2015-06-04,05DC011,1.4199999570846558
2015-06-05,05DC011,1.5700000524520874
2015-06-06,05DC011,1.4600000381469729
2015-06-07,05DC011,1.3899999856948853
2015-06-08,05DC011,1.350000023841858
2015-06-09,05DC011,1.340000033378601
2015-06-10,05DC011,1.2999999523162842
2015-06-11,05DC011,1.2699999809265137
2015-06-12,05DC011,1.5199999809265137
2015-06-13,05DC011,1.5700000524520874
2015-06-14,05DC011,1.7999999523162842
2015-06-15,05DC011,1.919999957084656
2015-06-16,05DC011,1.909999966621399
2015-06-17,05DC011,2.1600000858306885
2015-06-18,05DC011,2.470000028610229
2015-06-19,05DC011,2.720000028610229
2015-06-20,05DC011,2.7699999809265137
2015-06-21,05DC011,2.8299999237060547
2015-06-22,05DC011,2.75
2015-06-23,05DC011,2.6600000858306885
2015-06-24,05DC011,2.559999942779541
2015-06-25,05DC011,2.400000095367432
2015-06-26,05DC011,2.25
2015-06-27,05DC011,2.119999885559082
2015-06-28,05DC011,2.009999990463257
2015-06-29,05DC011,2.009999990463257
2015-06-30,05DC011,1.9800000190734863
2015-07-01,05DC011,2.140000104904175
2015-07-02,05DC011,1.9299999475479128
2015-07-03,05DC011,1.7799999713897705
2015-07-04,05DC011,1.7000000476837158
2015-07-05,05DC011,1.6699999570846558
2015-07-06,05DC011,1.6100000143051147
2015-07-07,05DC011,1.5700000524520874
2015-07-08,05DC011,1.5
2015-07-09,05DC011,1.4199999570846558
2015-07-10,05DC011,1.3600000143051147
2015-07-11,05DC011,1.3200000524520874
2015-07-12,05DC011,1.2899999618530271
2015-07-13,05DC011,1.2899999618530271
2015-07-14,05DC011,1.2899999618530271
2015-07-15,05DC011,1.2100000381469729
2015-07-16,05DC011,1.2599999904632568
2015-07-17,05DC011,3.390000104904175
2015-07-18,05DC011,4.059999942779541
2015-07-19,05DC011,3.920000076293945
2015-07-20,05DC011,3.680000066757202
2015-07-21,05DC011,3.380000114440918
2015-07-22,05DC011,3.140000104904175
2015-07-23,05DC011,2.890000104904175
2015-07-24,05DC011,2.650000095367432
2015-07-25,05DC011,2.509999990463257
2015-07-26,05DC011,2.400000095367432
2015-07-27,05DC011,2.299999952316284
2015-07-28,05DC011,2.140000104904175
2015-07-29,05DC011,2.0
2015-07-30,05DC011,1.870000004768372
2015-07-31,05DC011,1.7599999904632568
2015-08-01,05DC011,1.6799999475479126
2015-08-02,05DC011,1.6100000143051147
2015-08-03,05DC011,1.5499999523162842
2015-08-04,05DC011,1.5
2015-08-05,05DC011,1.5299999713897705
2015-08-06,05DC011,2.289999961853028
2015-08-07,05DC011,2.069999933242798
2015-08-08,05DC011,1.9800000190734863
2015-08-09,05DC011,1.8600000143051147
2015-08-10,05DC011,1.7400000095367432
2015-08-11,05DC011,1.6399999856948853
2015-08-12,05DC011,1.5499999523162842
2015-08-13,05DC011,1.4700000286102295
2015-08-14,05DC011,1.4500000476837158
2015-08-15,05DC011,2.4200000762939453
2015-08-16,05DC011,2.4100000858306885
2015-08-17,05DC011,2.319999933242798
2015-08-18,05DC011,2.25
2015-08-19,05DC011,2.109999895095825
2015-08-20,05DC011,2.0199999809265137
2015-08-21,05DC011,2.5799999237060547
2015-08-22,05DC011,2.7799999713897705
2015-08-23,05DC011,2.680000066757202
2015-08-24,05DC011,2.5999999046325684
2015-08-25,05DC011,2.4800000190734863
2015-08-26,05DC011,2.369999885559082
2015-08-27,05DC011,2.289999961853028
2015-08-28,05DC011,2.180000066757202
2015-08-29,05DC011,2.0799999237060547
2015-08-30,05DC011,2.0
2015-08-31,05DC011,1.899999976158142
2015-09-01,05DC011,1.7999999523162842
2015-09-02,05DC011,1.7300000190734863
2015-09-03,05DC011,1.7300000190734863
2015-09-04,05DC011,1.7699999809265137
2015-09-05,05DC011,1.7400000095367432
2015-09-06,05DC011,2.069999933242798
2015-09-07,05DC011,2.2799999713897705
2015-09-08,05DC011,2.1600000858306885
2015-09-09,05DC011,2.0999999046325684
2015-09-10,05DC011,2.049999952316284
2015-09-11,05DC011,1.9900000095367432
2015-09-12,05DC011,1.950000047683716
2015-09-13,05DC011,2.0999999046325684
2015-09-14,05DC011,2.289999961853028
2015-09-15,05DC011,2.430000066757202
2015-09-16,05DC011,2.440000057220459
2015-09-17,05DC011,2.369999885559082
2015-09-18,05DC011,2.3299999237060547
2015-09-19,05DC011,2.299999952316284
2015-09-20,05DC011,2.559999942779541
2015-09-21,05DC011,4.159999847412109
2015-09-22,05DC011,4.659999847412109
2015-09-23,05DC011,4.75
2015-09-24,05DC011,4.71999979019165
2015-09-25,05DC011,4.659999847412109
2015-09-26,05DC011,4.769999980926514
2015-09-27,05DC011,4.510000228881836
2015-09-28,05DC011,4.230000019073486
2015-09-29,05DC011,4.010000228881836
2015-09-30,05DC011,3.809999942779541
2015-10-01,05DC011,3.619999885559082
2015-10-02,05DC011,3.490000009536743
2015-10-03,05DC011,3.4600000381469727
2015-10-04,05DC011,3.3399999141693115
2015-10-05,05DC011,3.2300000190734863
2015-10-06,05DC011,3.0799999237060547
2015-10-07,05DC011,2.9600000381469727
2015-10-08,05DC011,2.819999933242798
2015-10-09,05DC011,2.700000047683716
2015-10-10,05DC011,2.630000114440918
2015-10-11,05DC011,2.539999961853028
2015-10-12,05DC011,2.430000066757202
2015-10-13,05DC011,2.3399999141693115
2015-10-14,05DC011,2.259999990463257
2015-10-15,05DC011,2.1700000762939453
2015-10-16,05DC011,2.0999999046325684
2015-10-17,05DC011,2.049999952316284
2015-10-18,05DC011,2.0
2015-10-19,05DC011,1.9600000381469729
2015-10-20,05DC011,1.9700000286102293
2015-10-21,05DC011,1.8899999856948853
2015-10-22,05DC011,1.8200000524520876
2015-10-23,05DC011,1.75
2015-10-24,05DC011,1.7100000381469729
2015-10-25,05DC011,1.6200000047683716
2015-10-26,05DC011,1.6100000143051147
2015-10-27,05DC011,1.5800000429153442
2015-10-28,05DC011,1.5
2015-10-29,05DC011,1.5
2015-10-30,05DC011,1.4800000190734863
2015-10-31,05DC011,1.4600000381469729
