DATE,STATION_NUMBER,DISCHARGE
2015-03-01,05DF003,0.0010000000474974513
2015-03-02,05DF003,0.0010000000474974513
2015-03-03,05DF003,0.003000000026077032
2015-03-04,05DF003,0.023000000044703484
2015-03-05,05DF003,0.07199999690055847
2015-03-06,05DF003,0.08699999749660492
2015-03-07,05DF003,0.1860000044107437
2015-03-08,05DF003,0.5299999713897705
2015-03-09,05DF003,1.3600000143051147
2015-03-10,05DF003,2.0999999046325684
2015-03-11,05DF003,2.190000057220459
2015-03-12,05DF003,2.390000104904175
2015-03-13,05DF003,3.200000047683716
2015-03-14,05DF003,4.159999847412109
2015-03-15,05DF003,5.199999809265137
2015-03-16,05DF003,5.980000019073486
2015-03-17,05DF003,7.050000190734863
2015-03-18,05DF003,7.760000228881836
2015-03-19,05DF003,8.470000267028809
2015-03-20,05DF003,7.139999866485596
2015-03-21,05DF003,4.820000171661377
2015-03-22,05DF003,3.700000047683716
2015-03-23,05DF003,3.4200000762939453
2015-03-24,05DF003,2.7100000381469727
2015-03-25,05DF003,2.2100000381469727
2015-03-26,05DF003,2.7799999713897705
2015-03-27,05DF003,4.489999771118164
2015-03-28,05DF003,6.570000171661377
2015-03-29,05DF003,5.820000171661377
2015-03-30,05DF003,4.949999809265137
2015-03-31,05DF003,4.360000133514404
2015-04-01,05DF003,4.510000228881836
2015-04-02,05DF003,5.199999809265137
2015-04-03,05DF003,4.610000133514404
2015-04-04,05DF003,3.839999914169312
2015-04-05,05DF003,3.3399999141693115
2015-04-06,05DF003,2.950000047683716
2015-04-07,05DF003,2.470000028610229
2015-04-08,05DF003,2.1700000762939453
2015-04-09,05DF003,1.940000057220459
2015-04-10,05DF003,1.6799999475479126
2015-04-11,05DF003,1.3899999856948853
2015-04-12,05DF003,1.2200000286102295
2015-04-13,05DF003,1.1299999952316284
2015-04-14,05DF003,0.9950000047683716
2015-04-15,05DF003,0.962000012397766
2015-04-16,05DF003,0.7160000205039978
2015-04-17,05DF003,0.8659999966621399
2015-04-18,05DF003,0.5569999814033508
2015-04-19,05DF003,0.5080000162124634
2015-04-20,05DF003,0.4560000002384186
2015-04-21,05DF003,0.4259999990463257
2015-04-22,05DF003,0.4120000004768372
2015-04-23,05DF003,0.34200000762939453
2015-04-24,05DF003,0.32499998807907104
2015-04-25,05DF003,0.3100000023841858
2015-04-26,05DF003,0.30799999833106995
2015-04-27,05DF003,0.3160000145435333
2015-04-28,05DF003,0.31200000643730164
2015-04-29,05DF003,0.2870000004768372
