DATE,STATION_NUMBER,DISCHARGE
2015-01-01,05FE004,1.0299999713897705
2015-01-02,05FE004,0.9900000095367432
2015-01-03,05FE004,0.9520000219345092
2015-01-04,05FE004,0.9459999799728394
2015-01-05,05FE004,0.972000002861023
2015-01-06,05FE004,0.9769999980926514
2015-01-07,05FE004,1.090000033378601
2015-01-08,05FE004,1.1200000047683716
2015-01-09,05FE004,0.9800000190734864
2015-01-10,05FE004,0.843999981880188
2015-01-11,05FE004,0.7379999756813049
2015-01-12,05FE004,0.6710000038146973
2015-01-13,05FE004,0.6570000052452087
2015-01-14,05FE004,0.7009999752044678
2015-01-15,05FE004,0.6830000281333923
2015-01-16,05FE004,0.7160000205039978
2015-01-17,05FE004,0.7630000114440918
2015-01-18,05FE004,0.7279999852180481
2015-01-19,05FE004,0.7260000109672546
2015-01-20,05FE004,0.7710000276565552
2015-01-21,05FE004,0.8579999804496765
2015-01-22,05FE004,0.9340000152587892
2015-01-23,05FE004,0.9610000252723694
2015-01-24,05FE004,0.9629999995231628
2015-01-25,05FE004,1.0099999904632568
2015-01-26,05FE004,1.0499999523162842
2015-01-27,05FE004,1.090000033378601
2015-01-28,05FE004,1.1100000143051147
2015-01-29,05FE004,1.0199999809265137
2015-01-30,05FE004,0.9259999990463256
2015-01-31,05FE004,0.9110000133514404
2015-02-01,05FE004,0.9110000133514404
2015-02-02,05FE004,0.8489999771118164
2015-02-03,05FE004,0.7860000133514404
2015-02-04,05FE004,0.7200000286102295
2015-02-05,05FE004,0.6650000214576721
2015-02-06,05FE004,0.6039999723434448
2015-02-07,05FE004,0.5740000009536743
2015-02-08,05FE004,0.546999990940094
2015-02-09,05FE004,0.5580000281333923
2015-02-10,05FE004,0.5759999752044678
2015-02-11,05FE004,0.5690000057220459
2015-02-12,05FE004,0.5910000205039978
2015-02-13,05FE004,0.6129999756813049
2015-02-14,05FE004,0.6919999718666077
2015-02-15,05FE004,0.7179999947547913
2015-02-16,05FE004,0.7260000109672546
2015-02-17,05FE004,0.7300000190734863
2015-02-18,05FE004,0.7649999856948853
2015-02-19,05FE004,0.8209999799728394
2015-02-20,05FE004,0.8709999918937683
2015-02-21,05FE004,0.9020000100135804
2015-02-22,05FE004,0.8889999985694885
2015-02-23,05FE004,0.972000002861023
2015-02-24,05FE004,1.0199999809265137
2015-02-25,05FE004,0.9990000128746032
2015-02-26,05FE004,0.9639999866485596
2015-02-27,05FE004,0.975000023841858
2015-02-28,05FE004,0.9380000233650208
2015-03-01,05FE004,0.847000002861023
2015-03-02,05FE004,0.8019999861717224
2015-03-03,05FE004,0.7739999890327454
2015-03-04,05FE004,0.7379999756813049
2015-03-05,05FE004,0.7080000042915344
2015-03-06,05FE004,0.6370000243186951
2015-03-07,05FE004,0.628000020980835
2015-03-08,05FE004,0.6570000052452087
2015-03-09,05FE004,0.7300000190734863
2015-03-10,05FE004,0.7860000133514404
2015-03-11,05FE004,1.0800000429153442
2015-03-12,05FE004,1.4900000095367432
2015-03-13,05FE004,1.9600000381469729
2015-03-14,05FE004,3.7100000381469727
2015-03-15,05FE004,16.799999237060547
2015-03-16,05FE004,31.899999618530277
2015-03-17,05FE004,41.0
2015-03-18,05FE004,44.29999923706055
2015-03-19,05FE004,46.20000076293945
2015-03-20,05FE004,48.400001525878906
2015-03-21,05FE004,50.09999847412109
