DATE,STATION_NUMBER,DISCHARGE
2015-03-01,07AE001,48.0
2015-03-02,07AE001,47.70000076293945
2015-03-03,07AE001,51.70000076293945
2015-03-04,07AE001,50.09999847412109
2015-03-05,07AE001,44.70000076293945
2015-03-06,07AE001,46.0
2015-03-07,07AE001,43.400001525878906
2015-03-08,07AE001,61.79999923706055
2015-03-09,07AE001,76.4000015258789
2015-03-10,07AE001,78.5
2015-03-11,07AE001,90.0999984741211
2015-03-12,07AE001,88.4000015258789
2015-03-13,07AE001,94.4000015258789
2015-03-14,07AE001,103.0
2015-03-15,07AE001,112.0
2015-03-16,07AE001,127.0
2015-03-17,07AE001,127.0
2015-03-18,07AE001,124.0
2015-03-19,07AE001,116.0
2015-03-20,07AE001,113.0
2015-03-21,07AE001,110.0
2015-03-22,07AE001,103.0
2015-03-23,07AE001,103.0
2015-03-24,07AE001,101.0
2015-03-25,07AE001,101.0
2015-03-26,07AE001,104.0
2015-03-27,07AE001,114.0
2015-03-28,07AE001,144.0
2015-03-29,07AE001,191.0
2015-03-30,07AE001,242.0
2015-03-31,07AE001,288.0
2015-04-01,07AE001,295.0
2015-04-02,07AE001,292.0
2015-04-03,07AE001,279.0
2015-04-04,07AE001,247.0
2015-04-05,07AE001,204.0
2015-04-06,07AE001,203.0
2015-04-07,07AE001,197.0
2015-04-08,07AE001,208.0
2015-04-09,07AE001,196.0
2015-04-10,07AE001,138.0
2015-04-11,07AE001,137.0
2015-04-12,07AE001,134.0
2015-04-13,07AE001,128.0
2015-04-14,07AE001,124.0
2015-04-15,07AE001,118.0
2015-04-16,07AE001,118.0
2015-04-17,07AE001,122.0
2015-04-18,07AE001,129.0
2015-04-19,07AE001,132.0
2015-04-20,07AE001,136.0
2015-04-21,07AE001,144.0
2015-04-22,07AE001,157.0
2015-04-23,07AE001,176.0
2015-04-24,07AE001,190.0
2015-04-25,07AE001,194.0
2015-04-26,07AE001,188.0
2015-04-27,07AE001,178.0
2015-04-28,07AE001,177.0
2015-04-29,07AE001,179.0
2015-04-30,07AE001,188.0
2015-05-01,07AE001,216.0
2015-05-02,07AE001,222.0
2015-05-03,07AE001,208.0
2015-05-04,07AE001,192.0
2015-05-05,07AE001,179.0
2015-05-06,07AE001,180.0
2015-05-07,07AE001,184.0
2015-05-08,07AE001,188.0
2015-05-09,07AE001,183.0
2015-05-10,07AE001,176.0
2015-05-11,07AE001,171.0
2015-05-12,07AE001,174.0
2015-05-13,07AE001,196.0
2015-05-14,07AE001,231.0
2015-05-15,07AE001,262.0
2015-05-16,07AE001,300.0
2015-05-17,07AE001,320.0
2015-05-18,07AE001,332.0
2015-05-19,07AE001,320.0
2015-05-20,07AE001,313.0
2015-05-21,07AE001,355.0
2015-05-22,07AE001,443.0
2015-05-23,07AE001,498.0
2015-05-24,07AE001,561.0
2015-05-25,07AE001,607.0
2015-05-26,07AE001,631.0
2015-05-27,07AE001,628.0
2015-05-28,07AE001,640.0
2015-05-29,07AE001,705.0
2015-05-30,07AE001,753.0
2015-05-31,07AE001,827.0
2015-06-01,07AE001,870.0
2015-06-02,07AE001,863.0
2015-06-03,07AE001,792.0
2015-06-04,07AE001,743.0
2015-06-05,07AE001,742.0
2015-06-06,07AE001,728.0
2015-06-07,07AE001,709.0
2015-06-08,07AE001,708.0
2015-06-09,07AE001,724.0
2015-06-10,07AE001,759.0
2015-06-11,07AE001,749.0
2015-06-12,07AE001,676.0
2015-06-13,07AE001,632.0
2015-06-14,07AE001,596.0
2015-06-15,07AE001,534.0
2015-06-16,07AE001,474.0
2015-06-17,07AE001,445.0
2015-06-18,07AE001,440.0
2015-06-19,07AE001,468.0
2015-06-20,07AE001,493.0
2015-06-21,07AE001,513.0
2015-06-22,07AE001,494.0
2015-06-23,07AE001,446.0
2015-06-24,07AE001,424.0
2015-06-25,07AE001,427.0
2015-06-26,07AE001,440.0
2015-06-27,07AE001,461.0
2015-06-28,07AE001,519.0
2015-06-29,07AE001,553.0
2015-06-30,07AE001,569.0
2015-07-01,07AE001,591.0
2015-07-02,07AE001,596.0
2015-07-03,07AE001,576.0
2015-07-04,07AE001,537.0
2015-07-05,07AE001,522.0
2015-07-06,07AE001,500.0
2015-07-07,07AE001,454.0
2015-07-08,07AE001,423.0
2015-07-09,07AE001,405.0
2015-07-10,07AE001,395.0
2015-07-11,07AE001,419.0
2015-07-12,07AE001,431.0
2015-07-13,07AE001,444.0
2015-07-14,07AE001,452.0
2015-07-15,07AE001,432.0
2015-07-16,07AE001,426.0
2015-07-17,07AE001,434.0
2015-07-18,07AE001,441.0
2015-07-19,07AE001,431.0
2015-07-20,07AE001,418.0
2015-07-21,07AE001,413.0
2015-07-22,07AE001,427.0
2015-07-23,07AE001,438.0
2015-07-24,07AE001,407.0
2015-07-25,07AE001,376.0
2015-07-26,07AE001,356.0
2015-07-27,07AE001,361.0
2015-07-28,07AE001,347.0
2015-07-29,07AE001,326.0
2015-07-30,07AE001,304.0
2015-07-31,07AE001,296.0
2015-08-01,07AE001,301.0
2015-08-02,07AE001,310.0
2015-08-03,07AE001,327.0
2015-08-04,07AE001,318.0
2015-08-05,07AE001,325.0
2015-08-06,07AE001,349.0
2015-08-07,07AE001,359.0
2015-08-08,07AE001,337.0
2015-08-09,07AE001,323.0
2015-08-10,07AE001,309.0
2015-08-11,07AE001,313.0
2015-08-12,07AE001,324.0
2015-08-13,07AE001,317.0
2015-08-14,07AE001,319.0
2015-08-15,07AE001,338.0
2015-08-16,07AE001,360.0
2015-08-17,07AE001,391.0
2015-08-18,07AE001,353.0
2015-08-19,07AE001,319.0
2015-08-20,07AE001,298.0
2015-08-21,07AE001,299.0
2015-08-22,07AE001,312.0
2015-08-23,07AE001,317.0
2015-08-24,07AE001,296.0
2015-08-25,07AE001,270.0
2015-08-26,07AE001,264.0
2015-08-27,07AE001,261.0
2015-08-28,07AE001,252.0
2015-08-29,07AE001,244.0
2015-08-30,07AE001,257.0
2015-08-31,07AE001,272.0
2015-09-01,07AE001,311.0
2015-09-02,07AE001,311.0
2015-09-03,07AE001,349.0
2015-09-04,07AE001,359.0
2015-09-05,07AE001,328.0
2015-09-06,07AE001,291.0
2015-09-07,07AE001,265.0
2015-09-08,07AE001,246.0
2015-09-09,07AE001,233.0
2015-09-10,07AE001,223.0
2015-09-11,07AE001,224.0
2015-09-12,07AE001,228.0
2015-09-13,07AE001,247.0
2015-09-14,07AE001,271.0
2015-09-15,07AE001,320.0
2015-09-16,07AE001,309.0
2015-09-17,07AE001,280.0
2015-09-18,07AE001,256.0
2015-09-19,07AE001,233.0
2015-09-20,07AE001,219.0
2015-09-21,07AE001,212.0
2015-09-22,07AE001,342.0
2015-09-23,07AE001,442.0
2015-09-24,07AE001,371.0
2015-09-25,07AE001,315.0
2015-09-26,07AE001,276.0
2015-09-27,07AE001,278.0
2015-09-28,07AE001,293.0
2015-09-29,07AE001,270.0
2015-09-30,07AE001,247.0
2015-10-01,07AE001,229.0
2015-10-02,07AE001,219.0
2015-10-03,07AE001,215.0
2015-10-04,07AE001,221.0
2015-10-05,07AE001,224.0
2015-10-06,07AE001,212.0
2015-10-07,07AE001,202.0
2015-10-08,07AE001,194.0
2015-10-09,07AE001,187.0
2015-10-10,07AE001,187.0
2015-10-11,07AE001,182.0
2015-10-12,07AE001,197.0
2015-10-13,07AE001,260.0
2015-10-14,07AE001,245.0
2015-10-15,07AE001,218.0
2015-10-16,07AE001,198.0
2015-10-17,07AE001,184.0
2015-10-18,07AE001,176.0
2015-10-19,07AE001,169.0
2015-10-20,07AE001,168.0
2015-10-21,07AE001,168.0
2015-10-22,07AE001,172.0
2015-10-23,07AE001,163.0
2015-10-24,07AE001,157.0
2015-10-25,07AE001,153.0
2015-10-26,07AE001,147.0
2015-10-27,07AE001,139.0
2015-10-28,07AE001,137.0
2015-10-29,07AE001,136.0
2015-10-30,07AE001,134.0
2015-10-31,07AE001,133.0
