DATE,STATION_NUMBER,DISCHARGE
2015-03-01,07BC006,0.0
2015-03-02,07BC006,0.0
2015-03-03,07BC006,0.0
2015-03-04,07BC006,0.0020000000949949026
2015-03-05,07BC006,0.004000000189989805
2015-03-06,07BC006,0.004999999888241291
2015-03-07,07BC006,0.014999999664723871
2015-03-08,07BC006,0.05000000074505806
2015-03-09,07BC006,0.06800000369548798
2015-03-10,07BC006,0.0560000017285347
2015-03-11,07BC006,0.05400000140070915
2015-03-12,07BC006,0.057999998331069946
2015-03-13,07BC006,0.05999999865889549
2015-03-14,07BC006,0.09700000286102296
2015-03-15,07BC006,0.39899998903274536
2015-03-16,07BC006,1.0099999904632568
2015-03-17,07BC006,1.3300000429153442
2015-03-18,07BC006,1.409999966621399
2015-03-19,07BC006,1.2400000095367432
2015-03-20,07BC006,1.090000033378601
2015-03-21,07BC006,0.9049999713897704
2015-03-22,07BC006,0.6859999895095825
2015-03-23,07BC006,0.5370000004768372
2015-03-24,07BC006,0.4970000088214874
2015-03-25,07BC006,0.628000020980835
2015-03-26,07BC006,0.6890000104904175
2015-03-27,07BC006,0.8009999990463257
2015-03-28,07BC006,1.6699999570846558
2015-03-29,07BC006,2.2699999809265137
2015-03-30,07BC006,2.150000095367432
2015-03-31,07BC006,1.9900000095367432
2015-04-01,07BC006,1.909999966621399
2015-04-02,07BC006,1.830000042915344
2015-04-03,07BC006,1.7000000476837158
2015-04-04,07BC006,1.649999976158142
2015-04-05,07BC006,1.5499999523162842
2015-04-06,07BC006,1.25
2015-04-07,07BC006,1.309999942779541
2015-04-08,07BC006,1.159999966621399
2015-04-09,07BC006,1.190000057220459
2015-04-10,07BC006,1.2000000476837158
2015-04-11,07BC006,1.159999966621399
2015-04-12,07BC006,1.100000023841858
2015-04-13,07BC006,1.0399999618530271
2015-04-14,07BC006,0.9229999780654908
2015-04-15,07BC006,0.8650000095367432
2015-04-16,07BC006,0.8539999723434448
2015-04-17,07BC006,0.8240000009536743
2015-04-18,07BC006,0.7850000262260437
2015-04-19,07BC006,0.7519999742507935
2015-04-20,07BC006,0.7350000143051147
2015-04-21,07BC006,0.7620000243186951
2015-04-22,07BC006,0.8019999861717224
2015-04-23,07BC006,0.8090000152587891
2015-04-24,07BC006,0.7979999780654907
2015-04-25,07BC006,0.8349999785423279
2015-04-26,07BC006,0.7680000066757202
2015-04-27,07BC006,0.7179999947547913
2015-04-28,07BC006,0.6779999732971191
2015-04-29,07BC006,0.6710000038146973
2015-04-30,07BC006,0.6769999861717224
2015-05-01,07BC006,0.8550000190734863
2015-05-02,07BC006,0.625
2015-05-03,07BC006,0.4370000064373016
2015-05-04,07BC006,0.2189999967813492
2015-05-05,07BC006,0.4239999949932098
2015-05-06,07BC006,0.09200000017881392
2015-05-07,07BC006,0.13600000739097595
2015-05-08,07BC006,0.1080000028014183
2015-05-09,07BC006,0.0560000017285347
2015-05-10,07BC006,0.054999999701976776
2015-05-11,07BC006,0.25699999928474426
2015-05-12,07BC006,0.3100000023841858
2015-05-13,07BC006,0.4399999976158142
2015-05-14,07BC006,0.386000007390976
2015-05-15,07BC006,0.9869999885559082
2015-05-16,07BC006,0.9359999895095824
2015-05-17,07BC006,0.7850000262260437
2015-05-18,07BC006,0.6700000166893005
2015-05-19,07BC006,0.5789999961853027
2015-05-20,07BC006,0.5440000295639038
2015-05-21,07BC006,0.5
2015-05-22,07BC006,0.4839999973773956
2015-05-23,07BC006,0.4390000104904175
2015-05-24,07BC006,0.4090000092983246
2015-05-25,07BC006,0.3869999945163727
2015-05-26,07BC006,0.3479999899864197
2015-05-27,07BC006,0.3310000002384186
2015-05-28,07BC006,0.3149999976158142
2015-05-29,07BC006,0.30000001192092896
2015-05-30,07BC006,0.27900001406669617
2015-05-31,07BC006,0.27000001072883606
2015-06-01,07BC006,0.25200000405311584
2015-06-02,07BC006,0.22699999809265137
2015-06-03,07BC006,0.20600000023841855
2015-06-04,07BC006,0.19099999964237213
2015-06-05,07BC006,0.18400000035762787
2015-06-06,07BC006,0.16500000655651093
2015-06-07,07BC006,0.14900000393390656
2015-06-08,07BC006,0.13500000536441803
2015-06-09,07BC006,0.10599999874830246
2015-06-10,07BC006,0.10100000351667404
2015-06-11,07BC006,0.1120000034570694
2015-06-12,07BC006,0.13199999928474426
2015-06-13,07BC006,0.10100000351667404
2015-06-14,07BC006,0.09399999678134918
2015-06-15,07BC006,0.14399999380111694
2015-06-16,07BC006,0.1860000044107437
2015-06-17,07BC006,0.15299999713897705
2015-06-18,07BC006,0.16599999368190765
2015-06-19,07BC006,0.13899999856948853
2015-06-20,07BC006,0.14000000059604645
2015-06-21,07BC006,0.11500000208616255
2015-06-22,07BC006,0.07800000160932541
