DATE,STATION_NUMBER,DISCHARGE
2015-02-01,07GE003,
2015-02-02,07GE003,
2015-02-03,07GE003,
2015-02-04,07GE003,
2015-02-05,07GE003,
2015-02-06,07GE003,
2015-02-07,07GE003,
2015-02-08,07GE003,
2015-02-09,07GE003,
2015-02-10,07GE003,
2015-02-11,07GE003,
2015-02-12,07GE003,
2015-02-13,07GE003,
2015-02-14,07GE003,
2015-02-15,07GE003,
2015-02-16,07GE003,
2015-02-17,07GE003,
2015-02-18,07GE003,
2015-02-19,07GE003,
2015-02-20,07GE003,
2015-02-21,07GE003,
2015-02-22,07GE003,
2015-02-23,07GE003,
2015-02-24,07GE003,0.0
2015-02-25,07GE003,0.0
2015-02-26,07GE003,0.0
2015-02-27,07GE003,0.0
2015-02-28,07GE003,0.0
2015-03-01,07GE003,0.0
2015-03-02,07GE003,0.0
2015-03-03,07GE003,0.0
2015-03-04,07GE003,0.0
2015-03-05,07GE003,0.0
2015-03-06,07GE003,0.0
2015-03-07,07GE003,0.0
2015-03-08,07GE003,0.0
2015-03-09,07GE003,0.0
2015-03-10,07GE003,0.0
2015-03-11,07GE003,0.0
2015-03-12,07GE003,0.0
2015-03-13,07GE003,0.0
2015-03-14,07GE003,0.0
2015-03-15,07GE003,0.0
2015-03-16,07GE003,0.0
2015-03-17,07GE003,0.0
2015-03-18,07GE003,0.0
2015-03-19,07GE003,0.0
2015-03-20,07GE003,0.0
2015-03-21,07GE003,0.0
2015-03-22,07GE003,0.0
2015-03-23,07GE003,0.0
2015-03-24,07GE003,0.0
2015-03-25,07GE003,0.0
2015-03-26,07GE003,0.0
2015-03-27,07GE003,0.020999999716877937
2015-03-28,07GE003,0.37299999594688416
2015-03-29,07GE003,1.0399999618530271
2015-03-30,07GE003,1.6399999856948853
2015-03-31,07GE003,2.180000066757202
2015-04-01,07GE003,2.640000104904175
2015-04-02,07GE003,2.930000066757202
2015-04-03,07GE003,3.119999885559082
2015-04-04,07GE003,2.809999942779541
2015-04-05,07GE003,2.069999933242798
2015-04-06,07GE003,1.5199999809265137
2015-04-07,07GE003,1.0800000429153442
2015-04-08,07GE003,0.9879999756813048
2015-04-09,07GE003,0.921999990940094
2015-04-10,07GE003,0.8420000076293945
2015-04-11,07GE003,0.8330000042915344
2015-04-12,07GE003,0.7919999957084656
2015-04-13,07GE003,0.7409999966621399
2015-04-14,07GE003,0.7210000157356262
2015-04-15,07GE003,0.6650000214576721
2015-04-16,07GE003,0.671999990940094
2015-04-17,07GE003,0.7269999980926514
2015-04-18,07GE003,0.9879999756813048
2015-04-19,07GE003,0.9670000076293944
2015-04-20,07GE003,0.9570000171661376
2015-04-21,07GE003,1.059999942779541
2015-04-22,07GE003,1.1399999856948853
2015-04-23,07GE003,1.159999966621399
2015-04-24,07GE003,1.0299999713897705
2015-04-25,07GE003,0.8799999952316284
2015-04-26,07GE003,0.7269999980926514
2015-04-27,07GE003,0.6430000066757202
2015-04-28,07GE003,0.6010000109672546
2015-04-29,07GE003,0.6309999823570251
2015-04-30,07GE003,0.515999972820282
2015-05-01,07GE003,0.4589999914169312
2015-05-02,07GE003,0.43299999833107
2015-05-03,07GE003,0.3650000095367432
2015-05-04,07GE003,0.3389999866485596
2015-05-05,07GE003,0.328000009059906
2015-05-06,07GE003,0.4050000011920929
2015-05-07,07GE003,0.45399999618530273
2015-05-08,07GE003,0.4959999918937683
2015-05-09,07GE003,0.4289999902248383
2015-05-10,07GE003,0.3659999966621399
2015-05-11,07GE003,0.3199999928474426
2015-05-12,07GE003,0.2660000026226044
2015-05-13,07GE003,0.19699999690055847
2015-05-14,07GE003,0.1459999978542328
2015-05-15,07GE003,0.10599999874830246
2015-05-16,07GE003,0.07599999755620956
2015-05-17,07GE003,0.04399999976158142
2015-05-18,07GE003,0.02199999988079071
2015-05-19,07GE003,0.008999999612569809
2015-05-20,07GE003,0.003000000026077032
2015-05-21,07GE003,0.0
2015-05-22,07GE003,0.0
2015-05-23,07GE003,0.0
2015-05-24,07GE003,0.0
2015-05-25,07GE003,0.0
2015-05-26,07GE003,0.0
2015-05-27,07GE003,0.0
2015-05-28,07GE003,0.0
2015-05-29,07GE003,0.0
2015-05-30,07GE003,0.0
2015-05-31,07GE003,0.0
2015-06-01,07GE003,0.0
2015-06-02,07GE003,0.0
2015-06-03,07GE003,0.0
2015-06-04,07GE003,0.0
2015-06-05,07GE003,0.0
2015-06-06,07GE003,0.0
2015-06-07,07GE003,0.0
2015-06-08,07GE003,0.0
2015-06-09,07GE003,0.0
2015-06-10,07GE003,0.0
2015-06-11,07GE003,0.0
2015-06-12,07GE003,0.0
2015-06-13,07GE003,0.0
2015-06-14,07GE003,0.0
2015-06-15,07GE003,0.0
2015-06-16,07GE003,0.0
2015-06-17,07GE003,0.0
2015-06-18,07GE003,0.0
2015-06-19,07GE003,0.0
2015-06-20,07GE003,0.0
2015-06-21,07GE003,0.0
2015-06-22,07GE003,0.0
2015-06-23,07GE003,0.0
2015-06-24,07GE003,0.0
2015-06-25,07GE003,0.0010000000474974513
2015-06-26,07GE003,0.0010000000474974513
2015-06-27,07GE003,0.0010000000474974513
2015-06-28,07GE003,0.004999999888241291
2015-06-29,07GE003,0.0020000000949949026
2015-06-30,07GE003,0.0
2015-07-01,07GE003,0.0
2015-07-02,07GE003,0.0
2015-07-03,07GE003,0.0
2015-07-04,07GE003,0.0
2015-07-05,07GE003,0.0
2015-07-06,07GE003,0.0
2015-07-07,07GE003,0.0
2015-07-08,07GE003,0.0
2015-07-09,07GE003,0.0
2015-07-10,07GE003,0.0
2015-07-11,07GE003,0.0
2015-07-12,07GE003,0.0
2015-07-13,07GE003,0.0
2015-07-14,07GE003,0.0
2015-07-15,07GE003,0.0
2015-07-16,07GE003,0.0
2015-07-17,07GE003,0.0
2015-07-18,07GE003,0.0
2015-07-19,07GE003,0.0
2015-07-20,07GE003,0.0
2015-07-21,07GE003,0.0
2015-07-22,07GE003,0.0
2015-07-23,07GE003,0.0
2015-07-24,07GE003,0.0
2015-07-25,07GE003,0.0
2015-07-26,07GE003,0.0
2015-07-27,07GE003,0.0
2015-07-28,07GE003,0.0
2015-07-29,07GE003,0.0
2015-07-30,07GE003,0.0
2015-07-31,07GE003,0.0
2015-08-01,07GE003,0.0
2015-08-02,07GE003,0.0
2015-08-03,07GE003,0.0
2015-08-04,07GE003,0.0
2015-08-05,07GE003,0.0
2015-08-06,07GE003,0.0
2015-08-07,07GE003,0.0
2015-08-08,07GE003,0.0
2015-08-09,07GE003,0.0
2015-08-10,07GE003,0.0
2015-08-11,07GE003,0.0
2015-08-12,07GE003,0.0
2015-08-13,07GE003,0.0
2015-08-14,07GE003,0.0
2015-08-15,07GE003,0.0
2015-08-16,07GE003,0.0
2015-08-17,07GE003,0.0
2015-08-18,07GE003,0.0
2015-08-19,07GE003,0.0
2015-08-20,07GE003,0.0
2015-08-21,07GE003,0.0
2015-08-22,07GE003,0.0
2015-08-23,07GE003,0.0
2015-08-24,07GE003,0.0
2015-08-25,07GE003,0.0
2015-08-26,07GE003,0.0
2015-08-27,07GE003,0.0
2015-08-28,07GE003,0.0
2015-08-29,07GE003,0.0
2015-08-30,07GE003,0.0
2015-08-31,07GE003,0.0
2015-09-01,07GE003,0.0
2015-09-02,07GE003,0.0
2015-09-03,07GE003,0.0
2015-09-04,07GE003,0.0
2015-09-05,07GE003,0.0
2015-09-06,07GE003,0.0
2015-09-07,07GE003,0.0
2015-09-08,07GE003,0.0
2015-09-09,07GE003,0.0
2015-09-10,07GE003,0.0
2015-09-11,07GE003,0.0
2015-09-12,07GE003,0.0
2015-09-13,07GE003,0.0
2015-09-14,07GE003,0.0
2015-09-15,07GE003,0.0
2015-09-16,07GE003,0.0
2015-09-17,07GE003,0.0
2015-09-18,07GE003,0.0
2015-09-19,07GE003,0.0
2015-09-20,07GE003,0.0
2015-09-21,07GE003,0.0
2015-09-22,07GE003,0.0
2015-09-23,07GE003,0.0
2015-09-24,07GE003,0.0
2015-09-25,07GE003,0.0
2015-09-26,07GE003,0.0
2015-09-27,07GE003,0.0
2015-09-28,07GE003,0.0
2015-09-29,07GE003,0.0
2015-09-30,07GE003,0.0
2015-10-01,07GE003,0.0
2015-10-02,07GE003,0.0
2015-10-03,07GE003,0.0
2015-10-04,07GE003,0.0
2015-10-05,07GE003,0.0
2015-10-06,07GE003,0.0
2015-10-07,07GE003,0.0
2015-10-08,07GE003,0.0
2015-10-09,07GE003,0.0
2015-10-10,07GE003,0.0
2015-10-11,07GE003,0.0
2015-10-12,07GE003,0.0
2015-10-13,07GE003,0.0
2015-10-14,07GE003,0.0
2015-10-15,07GE003,0.0
2015-10-16,07GE003,0.0
2015-10-17,07GE003,0.0
2015-10-18,07GE003,0.0
2015-10-19,07GE003,0.0
2015-10-20,07GE003,0.0
2015-10-21,07GE003,0.0
2015-10-22,07GE003,0.0
2015-10-23,07GE003,0.0
2015-10-24,07GE003,0.0
2015-10-25,07GE003,0.0
2015-10-26,07GE003,0.0
2015-10-27,07GE003,0.0
2015-10-28,07GE003,0.0
2015-10-29,07GE003,0.0
2015-10-30,07GE003,0.0
2015-10-31,07GE003,0.0
