DATE,STATION_NUMBER,DISCHARGE
2015-01-01,07GJ001,70.5999984741211
2015-01-02,07GJ001,69.80000305175781
2015-01-03,07GJ001,63.900001525878906
2015-01-04,07GJ001,59.20000076293945
2015-01-05,07GJ001,57.09999847412109
2015-01-06,07GJ001,59.70000076293945
2015-01-07,07GJ001,65.5999984741211
2015-01-08,07GJ001,62.0
2015-01-09,07GJ001,58.0
2015-01-10,07GJ001,55.09999847412109
2015-01-11,07GJ001,56.400001525878906
2015-01-12,07GJ001,57.0
2015-01-13,07GJ001,58.70000076293945
2015-01-14,07GJ001,57.0
2015-01-15,07GJ001,56.09999847412109
2015-01-16,07GJ001,56.0
2015-01-17,07GJ001,54.59999847412109
2015-01-18,07GJ001,54.400001525878906
2015-01-19,07GJ001,55.70000076293945
2015-01-20,07GJ001,53.900001525878906
2015-01-21,07GJ001,52.5
2015-01-22,07GJ001,51.59999847412109
2015-01-23,07GJ001,50.900001525878906
2015-01-24,07GJ001,49.900001525878906
2015-01-25,07GJ001,49.09999847412109
2015-01-26,07GJ001,48.5
2015-01-27,07GJ001,48.20000076293945
2015-01-28,07GJ001,48.09999847412109
2015-01-29,07GJ001,48.20000076293945
2015-01-30,07GJ001,48.5
2015-01-31,07GJ001,49.0
2015-02-01,07GJ001,49.5
2015-02-02,07GJ001,50.09999847412109
2015-02-03,07GJ001,50.79999923706055
2015-02-04,07GJ001,51.400001525878906
2015-02-05,07GJ001,52.09999847412109
2015-02-06,07GJ001,52.70000076293945
2015-02-07,07GJ001,53.29999923706055
2015-02-08,07GJ001,53.79999923706055
2015-02-09,07GJ001,54.29999923706055
2015-02-10,07GJ001,54.70000076293945
2015-02-11,07GJ001,55.09999847412109
2015-02-12,07GJ001,55.5
2015-02-13,07GJ001,55.5
2015-02-14,07GJ001,56.0
2015-02-15,07GJ001,55.09999847412109
2015-02-16,07GJ001,54.20000076293945
2015-02-17,07GJ001,53.20000076293945
2015-02-18,07GJ001,52.79999923706055
2015-02-19,07GJ001,54.20000076293945
2015-02-20,07GJ001,58.29999923706055
2015-02-21,07GJ001,64.4000015258789
2015-02-22,07GJ001,70.80000305175781
2015-02-23,07GJ001,75.5
2015-02-24,07GJ001,77.80000305175781
2015-02-25,07GJ001,78.4000015258789
2015-02-26,07GJ001,77.69999694824219
2015-02-27,07GJ001,76.19999694824219
2015-02-28,07GJ001,74.5999984741211
2015-03-01,07GJ001,73.0999984741211
2015-03-02,07GJ001,72.0
2015-03-03,07GJ001,71.5999984741211
2015-03-04,07GJ001,72.0
2015-03-05,07GJ001,73.5
2015-03-06,07GJ001,77.4000015258789
2015-03-07,07GJ001,87.5
2015-03-08,07GJ001,108.0
2015-03-09,07GJ001,136.0
2015-03-10,07GJ001,153.0
2015-03-11,07GJ001,154.0
2015-03-12,07GJ001,147.0
2015-03-13,07GJ001,149.0
2015-03-14,07GJ001,157.0
2015-03-15,07GJ001,167.0
2015-03-16,07GJ001,224.0
2015-03-17,07GJ001,257.0
2015-03-18,07GJ001,253.0
2015-03-19,07GJ001,253.0
2015-03-20,07GJ001,247.0
2015-03-21,07GJ001,229.0
2015-03-22,07GJ001,202.0
2015-03-23,07GJ001,176.0
2015-03-24,07GJ001,165.0
2015-03-25,07GJ001,159.0
2015-03-26,07GJ001,153.0
2015-03-27,07GJ001,156.0
2015-03-28,07GJ001,161.0
2015-03-29,07GJ001,239.0
2015-03-30,07GJ001,381.0
2015-03-31,07GJ001,607.0
2015-04-01,07GJ001,895.0
2015-04-02,07GJ001,969.0
2015-04-03,07GJ001,938.0
2015-04-04,07GJ001,864.0
2015-04-05,07GJ001,831.0
2015-04-06,07GJ001,724.0
2015-04-07,07GJ001,639.0
2015-04-08,07GJ001,590.0
2015-04-09,07GJ001,561.0
2015-04-10,07GJ001,560.0
2015-04-11,07GJ001,608.0
2015-04-12,07GJ001,697.0
2015-04-13,07GJ001,706.0
2015-04-14,07GJ001,627.0
2015-04-15,07GJ001,569.0
2015-04-16,07GJ001,537.0
2015-04-17,07GJ001,510.0
2015-04-18,07GJ001,527.0
2015-04-19,07GJ001,592.0
2015-04-20,07GJ001,623.0
2015-04-21,07GJ001,611.0
2015-04-22,07GJ001,647.0
2015-04-23,07GJ001,761.0
2015-04-24,07GJ001,999.0
2015-04-25,07GJ001,992.0
2015-04-26,07GJ001,942.0
2015-04-27,07GJ001,859.0
2015-04-28,07GJ001,808.0
2015-04-29,07GJ001,818.0
2015-04-30,07GJ001,895.0
2015-05-01,07GJ001,903.0
2015-05-02,07GJ001,812.0
2015-05-03,07GJ001,729.0
2015-05-04,07GJ001,661.0
2015-05-05,07GJ001,608.0
2015-05-06,07GJ001,590.0
2015-05-07,07GJ001,606.0
2015-05-08,07GJ001,578.0
2015-05-09,07GJ001,547.0
2015-05-10,07GJ001,528.0
2015-05-11,07GJ001,539.0
2015-05-12,07GJ001,611.0
2015-05-13,07GJ001,721.0
2015-05-14,07GJ001,778.0
2015-05-15,07GJ001,798.0
2015-05-16,07GJ001,799.0
2015-05-17,07GJ001,836.0
2015-05-18,07GJ001,944.0
2015-05-19,07GJ001,832.0
2015-05-20,07GJ001,810.0
2015-05-21,07GJ001,881.0
2015-05-22,07GJ001,958.0
2015-05-23,07GJ001,1000.0
2015-05-24,07GJ001,1040.0
2015-05-25,07GJ001,1090.0
2015-05-26,07GJ001,1060.0
2015-05-27,07GJ001,1020.0
2015-05-28,07GJ001,1010.0
2015-05-29,07GJ001,1060.0
2015-05-30,07GJ001,1060.0
2015-05-31,07GJ001,1070.0
2015-06-01,07GJ001,1140.0
2015-06-02,07GJ001,1090.0
2015-06-03,07GJ001,986.0
2015-06-04,07GJ001,938.0
2015-06-05,07GJ001,1000.0
2015-06-06,07GJ001,1010.0
2015-06-07,07GJ001,946.0
2015-06-08,07GJ001,915.0
2015-06-09,07GJ001,877.0
2015-06-10,07GJ001,848.0
2015-06-11,07GJ001,751.0
2015-06-12,07GJ001,656.0
2015-06-13,07GJ001,609.0
2015-06-14,07GJ001,574.0
2015-06-15,07GJ001,596.0
2015-06-16,07GJ001,584.0
2015-06-17,07GJ001,542.0
2015-06-18,07GJ001,536.0
2015-06-19,07GJ001,610.0
2015-06-20,07GJ001,656.0
2015-06-21,07GJ001,827.0
2015-06-22,07GJ001,802.0
2015-06-23,07GJ001,701.0
2015-06-24,07GJ001,630.0
2015-06-25,07GJ001,601.0
2015-06-26,07GJ001,591.0
2015-06-27,07GJ001,564.0
2015-06-28,07GJ001,562.0
2015-06-29,07GJ001,545.0
2015-06-30,07GJ001,524.0
2015-07-01,07GJ001,518.0
2015-07-02,07GJ001,541.0
2015-07-03,07GJ001,535.0
2015-07-04,07GJ001,479.0
2015-07-05,07GJ001,446.0
2015-07-06,07GJ001,411.0
2015-07-07,07GJ001,370.0
