DATE,STATION_NUMBER,DISCHARGE
2015-02-01,07HC002,
2015-02-02,07HC002,
2015-02-03,07HC002,
2015-02-04,07HC002,
2015-02-05,07HC002,
2015-02-06,07HC002,
2015-02-07,07HC002,
2015-02-08,07HC002,
2015-02-09,07HC002,
2015-02-10,07HC002,
2015-02-11,07HC002,
2015-02-12,07HC002,
2015-02-13,07HC002,
2015-02-14,07HC002,
2015-02-15,07HC002,
2015-02-16,07HC002,
2015-02-17,07HC002,
2015-02-18,07HC002,
2015-02-19,07HC002,
2015-02-20,07HC002,0.0
2015-02-21,07HC002,0.0
2015-02-22,07HC002,0.0
2015-02-23,07HC002,0.0
2015-02-24,07HC002,0.0
2015-02-25,07HC002,0.0
2015-02-26,07HC002,0.0
2015-02-27,07HC002,0.0
2015-02-28,07HC002,0.0
2015-03-01,07HC002,0.0
2015-03-02,07HC002,0.0
2015-03-03,07HC002,0.0
2015-03-04,07HC002,0.0
2015-03-05,07HC002,0.0
2015-03-06,07HC002,0.0
2015-03-07,07HC002,0.0
2015-03-08,07HC002,0.0
2015-03-09,07HC002,0.0
2015-03-10,07HC002,0.0
2015-03-11,07HC002,0.0
2015-03-12,07HC002,0.0
2015-03-13,07HC002,0.007000000216066837
2015-03-14,07HC002,0.07999999821186066
2015-03-15,07HC002,0.2240000069141388
2015-03-16,07HC002,0.3089999854564667
2015-03-17,07HC002,0.2770000100135803
2015-03-18,07HC002,0.20900000631809235
2015-03-19,07HC002,0.1459999978542328
2015-03-20,07HC002,0.11900000274181366
2015-03-21,07HC002,0.09700000286102296
2015-03-22,07HC002,0.0820000022649765
2015-03-23,07HC002,0.07100000232458115
2015-03-24,07HC002,0.06199999898672104
2015-03-25,07HC002,0.06700000166893005
2015-03-26,07HC002,0.14900000393390656
2015-03-27,07HC002,0.2809999883174896
2015-03-28,07HC002,0.9559999704360962
2015-03-29,07HC002,1.5299999713897705
2015-03-30,07HC002,4.380000114440918
2015-03-31,07HC002,5.309999942779541
2015-04-01,07HC002,5.679999828338623
2015-04-02,07HC002,6.599999904632568
2015-04-03,07HC002,4.929999828338623
2015-04-04,07HC002,3.740000009536743
