DATE,STATION_NUMBER,DISCHARGE
2015-01-01,07JD002,11.199999809265137
2015-01-02,07JD002,11.199999809265137
2015-01-03,07JD002,10.899999618530272
2015-01-04,07JD002,10.699999809265137
2015-01-05,07JD002,10.5
2015-01-06,07JD002,10.300000190734863
2015-01-07,07JD002,10.300000190734863
2015-01-08,07JD002,10.399999618530272
2015-01-09,07JD002,10.300000190734863
2015-01-10,07JD002,10.300000190734863
2015-01-11,07JD002,10.199999809265137
2015-01-12,07JD002,9.93000030517578
2015-01-13,07JD002,9.710000038146973
2015-01-14,07JD002,9.640000343322754
2015-01-15,07JD002,9.880000114440918
2015-01-16,07JD002,10.0
2015-01-17,07JD002,10.199999809265137
2015-01-18,07JD002,10.5
2015-01-19,07JD002,10.699999809265137
2015-01-20,07JD002,10.600000381469728
2015-01-21,07JD002,10.5
2015-01-22,07JD002,10.699999809265137
2015-01-23,07JD002,10.5
2015-01-24,07JD002,10.399999618530272
2015-01-25,07JD002,10.399999618530272
2015-01-26,07JD002,10.300000190734863
2015-01-27,07JD002,10.399999618530272
2015-01-28,07JD002,10.800000190734863
2015-01-29,07JD002,11.399999618530272
2015-01-30,07JD002,11.600000381469728
2015-01-31,07JD002,11.800000190734863
2015-02-01,07JD002,12.0
2015-02-02,07JD002,12.300000190734863
2015-02-03,07JD002,12.5
2015-02-04,07JD002,12.699999809265137
2015-02-05,07JD002,12.800000190734863
2015-02-06,07JD002,13.0
2015-02-07,07JD002,13.399999618530272
2015-02-08,07JD002,12.800000190734863
2015-02-09,07JD002,12.100000381469728
2015-02-10,07JD002,11.699999809265137
2015-02-11,07JD002,11.399999618530272
2015-02-12,07JD002,11.100000381469728
2015-02-13,07JD002,11.0
2015-02-14,07JD002,11.100000381469728
2015-02-15,07JD002,10.800000190734863
2015-02-16,07JD002,10.5
2015-02-17,07JD002,10.5
2015-02-18,07JD002,10.300000190734863
2015-02-19,07JD002,10.100000381469728
2015-02-20,07JD002,10.100000381469728
2015-02-21,07JD002,10.300000190734863
2015-02-22,07JD002,10.399999618530272
2015-02-23,07JD002,10.399999618530272
2015-02-24,07JD002,11.100000381469728
2015-02-25,07JD002,11.0
2015-02-26,07JD002,10.100000381469728
2015-02-27,07JD002,9.960000038146973
2015-02-28,07JD002,10.300000190734863
2015-03-01,07JD002,10.699999809265137
2015-03-02,07JD002,11.0
2015-03-03,07JD002,11.0
2015-03-04,07JD002,10.899999618530272
2015-03-05,07JD002,11.5
2015-03-06,07JD002,11.699999809265137
2015-03-07,07JD002,11.899999618530272
2015-03-08,07JD002,12.199999809265137
2015-03-09,07JD002,12.399999618530272
2015-03-10,07JD002,12.300000190734863
2015-03-11,07JD002,12.399999618530272
2015-03-12,07JD002,12.800000190734863
2015-03-13,07JD002,13.0
2015-03-14,07JD002,13.0
2015-03-15,07JD002,12.699999809265137
2015-03-16,07JD002,12.5
2015-03-17,07JD002,12.5
2015-03-18,07JD002,12.5
2015-03-19,07JD002,12.699999809265137
2015-03-20,07JD002,12.800000190734863
2015-03-21,07JD002,12.800000190734863
2015-03-22,07JD002,13.100000381469728
2015-03-23,07JD002,13.300000190734863
2015-03-24,07JD002,13.300000190734863
2015-03-25,07JD002,13.5
2015-03-26,07JD002,13.699999809265137
2015-03-27,07JD002,13.800000190734863
2015-03-28,07JD002,13.699999809265137
2015-03-29,07JD002,13.699999809265137
2015-03-30,07JD002,14.100000381469728
2015-03-31,07JD002,14.399999618530272
2015-04-01,07JD002,14.899999618530272
2015-04-02,07JD002,15.5
2015-04-03,07JD002,15.800000190734863
2015-04-04,07JD002,17.700000762939453
2015-04-05,07JD002,21.700000762939453
2015-04-06,07JD002,24.5
2015-04-07,07JD002,28.0
2015-04-08,07JD002,30.100000381469727
2015-04-09,07JD002,31.700000762939453
2015-04-10,07JD002,32.099998474121094
2015-04-11,07JD002,31.600000381469727
2015-04-12,07JD002,36.09999847412109
2015-04-13,07JD002,48.900001525878906
2015-04-14,07JD002,82.5999984741211
2015-04-15,07JD002,103.0
2015-04-16,07JD002,113.0
2015-04-17,07JD002,115.0
2015-04-18,07JD002,115.0
2015-04-19,07JD002,122.0
2015-04-20,07JD002,135.0
2015-04-21,07JD002,153.0
2015-04-22,07JD002,179.0
2015-04-23,07JD002,201.0
2015-04-24,07JD002,185.0
2015-04-25,07JD002,182.0
2015-04-26,07JD002,171.0
2015-04-27,07JD002,159.0
2015-04-28,07JD002,150.0
2015-04-29,07JD002,142.0
2015-04-30,07JD002,135.0
2015-05-01,07JD002,129.0
2015-05-02,07JD002,127.0
2015-05-03,07JD002,124.0
2015-05-04,07JD002,118.0
2015-05-05,07JD002,112.0
2015-05-06,07JD002,107.0
2015-05-07,07JD002,105.0
2015-05-08,07JD002,104.0
2015-05-09,07JD002,105.0
2015-05-10,07JD002,107.0
2015-05-11,07JD002,107.0
2015-05-12,07JD002,105.0
2015-05-13,07JD002,101.0
2015-05-14,07JD002,99.0
2015-05-15,07JD002,95.5999984741211
2015-05-16,07JD002,91.0
2015-05-17,07JD002,87.0
2015-05-18,07JD002,83.30000305175781
2015-05-19,07JD002,79.9000015258789
2015-05-20,07JD002,75.80000305175781
2015-05-21,07JD002,72.69999694824219
2015-05-22,07JD002,69.0999984741211
2015-05-23,07JD002,65.5
2015-05-24,07JD002,63.20000076293945
2015-05-25,07JD002,60.09999847412109
2015-05-26,07JD002,56.09999847412109
2015-05-27,07JD002,52.400001525878906
2015-05-28,07JD002,50.20000076293945
2015-05-29,07JD002,47.0
2015-05-30,07JD002,44.20000076293945
2015-05-31,07JD002,42.09999847412109
2015-06-01,07JD002,41.5
2015-06-02,07JD002,39.400001525878906
2015-06-03,07JD002,38.20000076293945
2015-06-04,07JD002,37.59999847412109
2015-06-05,07JD002,36.20000076293945
2015-06-06,07JD002,34.599998474121094
2015-06-07,07JD002,32.5
2015-06-08,07JD002,31.100000381469727
2015-06-09,07JD002,29.5
2015-06-10,07JD002,27.700000762939453
2015-06-11,07JD002,26.299999237060547
2015-06-12,07JD002,25.399999618530277
2015-06-13,07JD002,24.200000762939453
2015-06-14,07JD002,22.600000381469727
2015-06-15,07JD002,21.299999237060547
2015-06-16,07JD002,20.899999618530277
2015-06-17,07JD002,20.200000762939453
2015-06-18,07JD002,19.700000762939453
2015-06-19,07JD002,18.700000762939453
2015-06-20,07JD002,17.899999618530273
2015-06-21,07JD002,17.200000762939453
2015-06-22,07JD002,17.299999237060547
2015-06-23,07JD002,17.5
2015-06-24,07JD002,17.200000762939453
2015-06-25,07JD002,16.200000762939453
2015-06-26,07JD002,16.700000762939453
