DATE,STATION_NUMBER,DISCHARGE
2015-01-01,07KC001,1200.0
2015-01-02,07KC001,1270.0
2015-01-03,07KC001,1340.0
2015-01-04,07KC001,1350.0
2015-01-05,07KC001,1340.0
2015-01-06,07KC001,1320.0
2015-01-07,07KC001,1290.0
2015-01-08,07KC001,1260.0
2015-01-09,07KC001,1290.0
2015-01-10,07KC001,1280.0
2015-01-11,07KC001,1270.0
2015-01-12,07KC001,1240.0
2015-01-13,07KC001,1190.0
2015-01-14,07KC001,1130.0
2015-01-15,07KC001,1100.0
2015-01-16,07KC001,1150.0
2015-01-17,07KC001,1190.0
2015-01-18,07KC001,1230.0
2015-01-19,07KC001,1250.0
2015-01-20,07KC001,1270.0
2015-01-21,07KC001,1310.0
2015-01-22,07KC001,1400.0
2015-01-23,07KC001,1440.0
2015-01-24,07KC001,1510.0
2015-01-25,07KC001,1530.0
2015-01-26,07KC001,1540.0
2015-01-27,07KC001,1560.0
2015-01-28,07KC001,1570.0
2015-01-29,07KC001,1600.0
2015-01-30,07KC001,1610.0
2015-01-31,07KC001,1700.0
2015-02-01,07KC001,1710.0
2015-02-02,07KC001,1640.0
2015-02-03,07KC001,1560.0
2015-02-04,07KC001,1480.0
2015-02-05,07KC001,1390.0
2015-02-06,07KC001,1330.0
2015-02-07,07KC001,1300.0
2015-02-08,07KC001,1260.0
2015-02-09,07KC001,1220.0
2015-02-10,07KC001,1200.0
2015-02-11,07KC001,1210.0
2015-02-12,07KC001,1210.0
2015-02-13,07KC001,1190.0
2015-02-14,07KC001,1180.0
2015-02-15,07KC001,1120.0
2015-02-16,07KC001,1030.0
2015-02-17,07KC001,919.0
2015-02-18,07KC001,790.0
2015-02-19,07KC001,715.0
2015-02-20,07KC001,684.0
2015-02-21,07KC001,676.0
2015-02-22,07KC001,699.0
2015-02-23,07KC001,697.0
2015-02-24,07KC001,693.0
2015-02-25,07KC001,724.0
2015-02-26,07KC001,751.0
2015-02-27,07KC001,776.0
2015-02-28,07KC001,824.0
2015-03-01,07KC001,887.0
2015-03-02,07KC001,983.0
2015-03-03,07KC001,1170.0
2015-03-04,07KC001,1380.0
2015-03-05,07KC001,1450.0
2015-03-06,07KC001,1490.0
2015-03-07,07KC001,1510.0
2015-03-08,07KC001,1520.0
2015-03-09,07KC001,1530.0
2015-03-10,07KC001,1550.0
2015-03-11,07KC001,1550.0
2015-03-12,07KC001,1550.0
2015-03-13,07KC001,1530.0
2015-03-14,07KC001,1530.0
2015-03-15,07KC001,1550.0
2015-03-16,07KC001,1600.0
2015-03-17,07KC001,1650.0
2015-03-18,07KC001,1680.0
2015-03-19,07KC001,1700.0
2015-03-20,07KC001,1710.0
2015-03-21,07KC001,1740.0
