DATE,STATION_NUMBER,DISCHARGE
2015-05-01,07KF015,
2015-05-02,07KF015,
2015-05-03,07KF015,
2015-05-04,07KF015,
2015-05-05,07KF015,98.9000015258789
2015-05-06,07KF015,97.5
2015-05-07,07KF015,96.0
2015-05-08,07KF015,95.5999984741211
2015-05-09,07KF015,96.0999984741211
2015-05-10,07KF015,95.0999984741211
2015-05-11,07KF015,92.6999969482422
2015-05-12,07KF015,90.5999984741211
2015-05-13,07KF015,88.19999694824219
2015-05-14,07KF015,85.69999694824219
2015-05-15,07KF015,84.69999694824219
2015-05-16,07KF015,83.30000305175781
2015-05-17,07KF015,81.19999694824219
2015-05-18,07KF015,79.0
2015-05-19,07KF015,75.5
2015-05-20,07KF015,73.0
2015-05-21,07KF015,72.5999984741211
2015-05-22,07KF015,73.0999984741211
2015-05-23,07KF015,75.19999694824219
2015-05-24,07KF015,77.0999984741211
2015-05-25,07KF015,78.4000015258789
2015-05-26,07KF015,80.30000305175781
2015-05-27,07KF015,79.30000305175781
2015-05-28,07KF015,79.5999984741211
2015-05-29,07KF015,85.30000305175781
2015-05-30,07KF015,95.1999969482422
2015-05-31,07KF015,104.0
2015-06-01,07KF015,111.0
2015-06-02,07KF015,116.0
2015-06-03,07KF015,118.0
2015-06-04,07KF015,121.0
2015-06-05,07KF015,128.0
2015-06-06,07KF015,139.0
2015-06-07,07KF015,149.0
2015-06-08,07KF015,152.0
2015-06-09,07KF015,146.0
2015-06-10,07KF015,138.0
2015-06-11,07KF015,133.0
2015-06-12,07KF015,131.0
2015-06-13,07KF015,128.0
2015-06-14,07KF015,126.0
2015-06-15,07KF015,126.0
2015-06-16,07KF015,131.0
2015-06-17,07KF015,134.0
2015-06-18,07KF015,129.0
2015-06-19,07KF015,119.0
2015-06-20,07KF015,108.0
2015-06-21,07KF015,101.0
2015-06-22,07KF015,91.3000030517578
2015-06-23,07KF015,83.4000015258789
2015-06-24,07KF015,77.9000015258789
2015-06-25,07KF015,75.0999984741211
2015-06-26,07KF015,76.30000305175781
2015-06-27,07KF015,79.9000015258789
2015-06-28,07KF015,82.5999984741211
2015-06-29,07KF015,82.0999984741211
2015-06-30,07KF015,76.0999984741211
2015-07-01,07KF015,70.0999984741211
2015-07-02,07KF015,67.4000015258789
2015-07-03,07KF015,67.0999984741211
2015-07-04,07KF015,68.4000015258789
2015-07-05,07KF015,72.5
2015-07-06,07KF015,78.4000015258789
2015-07-07,07KF015,82.5999984741211
2015-07-08,07KF015,85.30000305175781
2015-07-09,07KF015,85.19999694824219
2015-07-10,07KF015,83.0
2015-07-11,07KF015,79.19999694824219
2015-07-12,07KF015,75.5
2015-07-13,07KF015,72.5
2015-07-14,07KF015,69.5
2015-07-15,07KF015,67.4000015258789
2015-07-16,07KF015,66.69999694824219
2015-07-17,07KF015,65.4000015258789
2015-07-18,07KF015,67.0999984741211
2015-07-19,07KF015,71.30000305175781
2015-07-20,07KF015,76.80000305175781
2015-07-21,07KF015,80.30000305175781
2015-07-22,07KF015,81.30000305175781
2015-07-23,07KF015,77.69999694824219
2015-07-24,07KF015,75.69999694824219
2015-07-25,07KF015,76.4000015258789
2015-07-26,07KF015,77.80000305175781
2015-07-27,07KF015,78.0999984741211
2015-07-28,07KF015,78.80000305175781
2015-07-29,07KF015,79.69999694824219
2015-07-30,07KF015,83.0999984741211
2015-07-31,07KF015,81.80000305175781
2015-08-01,07KF015,75.5999984741211
2015-08-02,07KF015,69.19999694824219
2015-08-03,07KF015,65.0
2015-08-04,07KF015,63.900001525878906
2015-08-05,07KF015,61.900001525878906
2015-08-06,07KF015,58.400001525878906
2015-08-07,07KF015,56.70000076293945
2015-08-08,07KF015,57.59999847412109
2015-08-09,07KF015,61.20000076293945
2015-08-10,07KF015,63.70000076293945
2015-08-11,07KF015,65.5999984741211
2015-08-12,07KF015,66.5
2015-08-13,07KF015,67.5999984741211
2015-08-14,07KF015,68.0999984741211
2015-08-15,07KF015,67.30000305175781
2015-08-16,07KF015,64.5999984741211
2015-08-17,07KF015,61.20000076293945
2015-08-18,07KF015,57.900001525878906
2015-08-19,07KF015,56.0
2015-08-20,07KF015,54.79999923706055
2015-08-21,07KF015,53.5
2015-08-22,07KF015,53.09999847412109
2015-08-23,07KF015,54.70000076293945
2015-08-24,07KF015,57.5
2015-08-25,07KF015,58.70000076293945
2015-08-26,07KF015,55.79999923706055
2015-08-27,07KF015,51.79999923706055
2015-08-28,07KF015,48.5
2015-08-29,07KF015,47.400001525878906
2015-08-30,07KF015,47.59999847412109
2015-08-31,07KF015,48.0
2015-09-01,07KF015,46.09999847412109
2015-09-02,07KF015,44.70000076293945
2015-09-03,07KF015,44.900001525878906
2015-09-04,07KF015,47.400001525878906
2015-09-05,07KF015,46.29999923706055
2015-09-06,07KF015,45.5
2015-09-07,07KF015,46.09999847412109
2015-09-08,07KF015,49.0
2015-09-09,07KF015,53.20000076293945
2015-09-10,07KF015,55.70000076293945
2015-09-11,07KF015,59.79999923706055
2015-09-12,07KF015,60.900001525878906
2015-09-13,07KF015,58.20000076293945
2015-09-14,07KF015,53.70000076293945
2015-09-15,07KF015,50.20000076293945
2015-09-16,07KF015,47.400001525878906
2015-09-17,07KF015,45.70000076293945
2015-09-18,07KF015,44.0
2015-09-19,07KF015,43.400001525878906
2015-09-20,07KF015,43.400001525878906
2015-09-21,07KF015,44.09999847412109
2015-09-22,07KF015,47.59999847412109
2015-09-23,07KF015,53.5
2015-09-24,07KF015,54.900001525878906
2015-09-25,07KF015,52.70000076293945
2015-09-26,07KF015,50.0
2015-09-27,07KF015,47.400001525878906
2015-09-28,07KF015,45.70000076293945
2015-09-29,07KF015,45.400001525878906
2015-09-30,07KF015,60.900001525878906
2015-10-01,07KF015,72.30000305175781
2015-10-02,07KF015,67.80000305175781
