DATE,STATION_NUMBER,DISCHARGE
2015-01-01,07OC001,0.7229999899864197
2015-01-02,07OC001,0.7289999723434448
2015-01-03,07OC001,0.734000027179718
2015-01-04,07OC001,0.7360000014305115
2015-01-05,07OC001,0.734000027179718
2015-01-06,07OC001,0.7319999933242798
2015-01-07,07OC001,0.7350000143051147
2015-01-08,07OC001,0.7400000095367432
2015-01-09,07OC001,0.7369999885559082
2015-01-10,07OC001,0.7260000109672546
2015-01-11,07OC001,0.7179999947547913
2015-01-12,07OC001,0.7139999866485596
2015-01-13,07OC001,0.7059999704360962
2015-01-14,07OC001,0.6959999799728394
2015-01-15,07OC001,0.6840000152587891
2015-01-16,07OC001,0.6800000071525574
2015-01-17,07OC001,0.6779999732971191
2015-01-18,07OC001,0.6800000071525574
2015-01-19,07OC001,0.6880000233650208
2015-01-20,07OC001,0.6919999718666077
2015-01-21,07OC001,0.6949999928474426
2015-01-22,07OC001,0.699999988079071
2015-01-23,07OC001,0.7020000219345093
2015-01-24,07OC001,0.7009999752044678
2015-01-25,07OC001,0.699999988079071
2015-01-26,07OC001,0.6930000185966492
2015-01-27,07OC001,0.6930000185966492
2015-01-28,07OC001,0.6690000295639038
2015-01-29,07OC001,0.6610000133514404
2015-01-30,07OC001,0.6570000052452087
2015-01-31,07OC001,0.5350000262260437
2015-02-01,07OC001,0.4309999942779541
2015-02-02,07OC001,0.40299999713897705
2015-02-03,07OC001,0.382999986410141
2015-02-04,07OC001,0.3639999926090241
2015-02-05,07OC001,0.3470000028610229
2015-02-06,07OC001,0.33000001311302185
2015-02-07,07OC001,0.3129999935626984
2015-02-08,07OC001,0.2980000078678131
2015-02-09,07OC001,0.28299999237060547
2015-02-10,07OC001,0.27000001072883606
2015-02-11,07OC001,0.25600001215934753
2015-02-12,07OC001,0.2440000027418137
2015-02-13,07OC001,0.23199999332427976
2015-02-14,07OC001,0.2199999988079071
2015-02-15,07OC001,0.20999999344348907
2015-02-16,07OC001,0.2080000042915344
2015-02-17,07OC001,0.2169999927282333
2015-02-18,07OC001,0.20600000023841855
2015-02-19,07OC001,0.20999999344348907
2015-02-20,07OC001,0.23000000417232516
2015-02-21,07OC001,0.2549999952316284
2015-02-22,07OC001,0.27900001406669617
2015-02-23,07OC001,0.29600000381469727
2015-02-24,07OC001,0.3400000035762787
2015-02-25,07OC001,0.35600000619888306
2015-02-26,07OC001,0.35600000619888306
2015-02-27,07OC001,0.35899999737739563
2015-02-28,07OC001,0.3479999899864197
2015-03-01,07OC001,0.3100000023841858
2015-03-02,07OC001,0.26899999380111694
2015-03-03,07OC001,0.2540000081062317
2015-03-04,07OC001,0.2509999871253968
2015-03-05,07OC001,0.2529999911785126
2015-03-06,07OC001,0.2660000026226044
2015-03-07,07OC001,0.27900001406669617
2015-03-08,07OC001,0.2939999997615814
2015-03-09,07OC001,0.34599998593330383
2015-03-10,07OC001,0.3880000114440918
2015-03-11,07OC001,0.4020000100135803
2015-03-12,07OC001,0.4129999876022339
2015-03-13,07OC001,0.4180000126361847
2015-03-14,07OC001,0.42500001192092896
2015-03-15,07OC001,0.4659999907016754
2015-03-16,07OC001,0.453000009059906
2015-03-17,07OC001,0.4129999876022339
2015-03-18,07OC001,0.39800000190734863
2015-03-19,07OC001,0.40299999713897705
2015-03-20,07OC001,0.4160000085830689
2015-03-21,07OC001,0.4480000138282776
2015-03-22,07OC001,0.5490000247955322
2015-03-23,07OC001,0.6800000071525574
2015-03-24,07OC001,0.6830000281333923
2015-03-25,07OC001,0.6669999957084656
2015-03-26,07OC001,0.656000018119812
2015-03-27,07OC001,0.6570000052452087
2015-03-28,07OC001,0.7269999980926514
2015-03-29,07OC001,0.7979999780654907
2015-03-30,07OC001,0.796999990940094
2015-03-31,07OC001,0.7329999804496765
2015-04-01,07OC001,0.6600000262260437
2015-04-02,07OC001,0.5820000171661377
2015-04-03,07OC001,0.4020000100135803
2015-04-04,07OC001,0.38999998569488525
2015-04-05,07OC001,0.4950000047683716
2015-04-06,07OC001,0.6209999918937683
2015-04-07,07OC001,0.7789999842643738
2015-04-08,07OC001,0.977999985218048
2015-04-09,07OC001,1.2300000190734863
2015-04-10,07OC001,1.5399999618530271
2015-04-11,07OC001,1.9299999475479128
2015-04-12,07OC001,2.430000066757202
2015-04-13,07OC001,3.049999952316284
2015-04-14,07OC001,3.819999933242798
2015-04-15,07OC001,4.800000190734863
2015-04-16,07OC001,6.019999980926514
2015-04-17,07OC001,7.559999942779541
2015-04-18,07OC001,9.489999771118164
2015-04-19,07OC001,11.899999618530272
2015-04-20,07OC001,13.800000190734863
2015-04-21,07OC001,12.5
2015-04-22,07OC001,13.5
2015-04-23,07OC001,14.0
2015-04-24,07OC001,14.199999809265137
2015-04-25,07OC001,16.299999237060547
2015-04-26,07OC001,19.299999237060547
2015-04-27,07OC001,26.100000381469727
2015-04-28,07OC001,32.5
2015-04-29,07OC001,34.5
2015-04-30,07OC001,34.29999923706055
2015-05-01,07OC001,34.70000076293945
2015-05-02,07OC001,35.099998474121094
2015-05-03,07OC001,36.29999923706055
2015-05-04,07OC001,39.0
2015-05-05,07OC001,41.400001525878906
2015-05-06,07OC001,40.5
2015-05-07,07OC001,38.79999923706055
2015-05-08,07OC001,37.0
2015-05-09,07OC001,35.0
2015-05-10,07OC001,32.900001525878906
2015-05-11,07OC001,31.0
2015-05-12,07OC001,29.0
2015-05-13,07OC001,27.799999237060547
2015-05-14,07OC001,26.799999237060547
2015-05-15,07OC001,26.0
2015-05-16,07OC001,25.299999237060547
2015-05-17,07OC001,24.799999237060547
2015-05-18,07OC001,24.0
2015-05-19,07OC001,22.600000381469727
2015-05-20,07OC001,21.100000381469727
2015-05-21,07OC001,19.799999237060547
2015-05-22,07OC001,18.399999618530277
2015-05-23,07OC001,17.0
2015-05-24,07OC001,15.800000190734863
2015-05-25,07OC001,14.699999809265137
2015-05-26,07OC001,13.5
2015-05-27,07OC001,12.600000381469728
2015-05-28,07OC001,11.699999809265137
2015-05-29,07OC001,11.100000381469728
2015-05-30,07OC001,10.399999618530272
2015-05-31,07OC001,9.850000381469728
2015-06-01,07OC001,9.239999771118164
2015-06-02,07OC001,9.31999969482422
2015-06-03,07OC001,10.5
2015-06-04,07OC001,13.699999809265137
2015-06-05,07OC001,14.899999618530272
2015-06-06,07OC001,14.300000190734863
2015-06-07,07OC001,13.0
2015-06-08,07OC001,11.899999618530272
2015-06-09,07OC001,10.699999809265137
2015-06-10,07OC001,9.770000457763672
2015-06-11,07OC001,9.18000030517578
2015-06-12,07OC001,8.649999618530273
2015-06-13,07OC001,8.869999885559082
2015-06-14,07OC001,9.020000457763672
2015-06-15,07OC001,8.890000343322754
2015-06-16,07OC001,8.079999923706055
2015-06-17,07OC001,7.389999866485596
2015-06-18,07OC001,7.329999923706055
2015-06-19,07OC001,7.710000038146973
2015-06-20,07OC001,11.800000190734863
2015-06-21,07OC001,13.199999809265137
2015-06-22,07OC001,20.200000762939453
2015-06-23,07OC001,22.5
2015-06-24,07OC001,22.5
2015-06-25,07OC001,20.799999237060547
2015-06-26,07OC001,19.299999237060547
2015-06-27,07OC001,17.399999618530273
2015-06-28,07OC001,16.0
2015-06-29,07OC001,15.0
2015-06-30,07OC001,15.199999809265137
2015-07-01,07OC001,13.600000381469728
2015-07-02,07OC001,12.0
2015-07-03,07OC001,10.600000381469728
2015-07-04,07OC001,9.56999969482422
2015-07-05,07OC001,8.90999984741211
2015-07-06,07OC001,8.4399995803833
2015-07-07,07OC001,7.78000020980835
2015-07-08,07OC001,6.739999771118164
2015-07-09,07OC001,6.28000020980835
2015-07-10,07OC001,5.550000190734863
2015-07-11,07OC001,5.960000038146973
2015-07-12,07OC001,6.289999961853027
2015-07-13,07OC001,6.519999980926514
2015-07-14,07OC001,5.5
2015-07-15,07OC001,4.730000019073486
2015-07-16,07OC001,4.650000095367432
2015-07-17,07OC001,3.869999885559082
2015-07-18,07OC001,3.940000057220459
2015-07-19,07OC001,3.430000066757202
2015-07-20,07OC001,3.150000095367432
2015-07-21,07OC001,3.569999933242798
2015-07-22,07OC001,4.5
2015-07-23,07OC001,3.930000066757202
2015-07-24,07OC001,3.4200000762939453
2015-07-25,07OC001,3.1700000762939453
2015-07-26,07OC001,2.970000028610229
2015-07-27,07OC001,2.75
2015-07-28,07OC001,2.5999999046325684
2015-07-29,07OC001,7.449999809265137
2015-07-30,07OC001,8.369999885559082
2015-07-31,07OC001,16.799999237060547
2015-08-01,07OC001,15.600000381469728
2015-08-02,07OC001,13.699999809265137
2015-08-03,07OC001,12.0
2015-08-04,07OC001,11.100000381469728
2015-08-05,07OC001,10.600000381469728
2015-08-06,07OC001,10.600000381469728
2015-08-07,07OC001,10.600000381469728
2015-08-08,07OC001,10.600000381469728
2015-08-09,07OC001,20.5
2015-08-10,07OC001,97.8000030517578
2015-08-11,07OC001,109.0
2015-08-12,07OC001,101.0
2015-08-13,07OC001,87.5
2015-08-14,07OC001,77.30000305175781
2015-08-15,07OC001,68.0
2015-08-16,07OC001,57.900001525878906
2015-08-17,07OC001,48.29999923706055
2015-08-18,07OC001,41.79999923706055
2015-08-19,07OC001,36.400001525878906
2015-08-20,07OC001,31.799999237060547
2015-08-21,07OC001,28.799999237060547
2015-08-22,07OC001,25.799999237060547
2015-08-23,07OC001,23.700000762939453
2015-08-24,07OC001,21.799999237060547
2015-08-25,07OC001,19.100000381469727
2015-08-26,07OC001,17.799999237060547
2015-08-27,07OC001,16.5
2015-08-28,07OC001,15.0
2015-08-29,07OC001,14.100000381469728
2015-08-30,07OC001,13.0
2015-08-31,07OC001,11.600000381469728
2015-09-01,07OC001,10.600000381469728
2015-09-02,07OC001,9.640000343322754
2015-09-03,07OC001,9.130000114440918
2015-09-04,07OC001,9.0
2015-09-05,07OC001,8.619999885559082
2015-09-06,07OC001,8.029999732971191
2015-09-07,07OC001,7.679999828338623
2015-09-08,07OC001,7.46999979019165
2015-09-09,07OC001,7.579999923706055
2015-09-10,07OC001,7.590000152587891
2015-09-11,07OC001,7.21999979019165
2015-09-12,07OC001,7.320000171661377
2015-09-13,07OC001,7.71999979019165
2015-09-14,07OC001,7.760000228881836
2015-09-15,07OC001,7.650000095367432
2015-09-16,07OC001,7.440000057220459
2015-09-17,07OC001,7.119999885559082
2015-09-18,07OC001,6.869999885559082
2015-09-19,07OC001,6.699999809265137
2015-09-20,07OC001,6.400000095367432
2015-09-21,07OC001,6.190000057220459
2015-09-22,07OC001,6.03000020980835
2015-09-23,07OC001,5.829999923706055
2015-09-24,07OC001,5.860000133514404
2015-09-25,07OC001,5.679999828338623
2015-09-26,07OC001,5.510000228881836
2015-09-27,07OC001,5.170000076293945
2015-09-28,07OC001,5.010000228881836
2015-09-29,07OC001,5.03000020980835
