DATE,STATION_NUMBER,DISCHARGE
2015-03-01,11AB009,0.012000000104308128
2015-03-02,11AB009,0.012000000104308128
2015-03-03,11AB009,0.012000000104308128
2015-03-04,11AB009,0.0130000002682209
2015-03-05,11AB009,0.012000000104308128
2015-03-06,11AB009,0.017000000923871994
2015-03-07,11AB009,0.020999999716877937
2015-03-08,11AB009,0.026000000536441803
2015-03-09,11AB009,0.11400000005960464
2015-03-10,11AB009,1.5800000429153442
2015-03-11,11AB009,4.389999866485596
2015-03-12,11AB009,3.5999999046325684
2015-03-13,11AB009,3.5199999809265137
2015-03-14,11AB009,3.7899999618530273
2015-03-15,11AB009,2.5
2015-03-16,11AB009,1.830000042915344
2015-03-17,11AB009,1.100000023841858
2015-03-18,11AB009,0.5490000247955322
2015-03-19,11AB009,0.42800000309944153
2015-03-20,11AB009,0.42500001192092896
2015-03-21,11AB009,0.6990000009536743
2015-03-22,11AB009,0.593999981880188
2015-03-23,11AB009,0.8240000009536743
2015-03-24,11AB009,0.5429999828338623
2015-03-25,11AB009,0.1550000011920929
2015-03-26,11AB009,0.09200000017881392
2015-03-27,11AB009,0.07400000095367432
2015-03-28,11AB009,0.06499999761581421
2015-03-29,11AB009,0.07500000298023224
2015-03-30,11AB009,0.28999999165534973
2015-03-31,11AB009,0.4350000023841858
2015-04-01,11AB009,0.28999999165534973
2015-04-02,11AB009,0.14100000262260437
2015-04-03,11AB009,0.07900000363588333
2015-04-04,11AB009,0.05900000035762787
2015-04-05,11AB009,0.05299999937415123
2015-04-06,11AB009,0.05400000140070915
2015-04-07,11AB009,0.05900000035762787
2015-04-08,11AB009,0.05400000140070915
2015-04-09,11AB009,0.04600000008940697
2015-04-10,11AB009,0.0820000022649765
2015-04-11,11AB009,0.10499999672174454
2015-04-12,11AB009,0.0729999989271164
2015-04-13,11AB009,0.06199999898672104
2015-04-14,11AB009,0.052000001072883606
2015-04-15,11AB009,0.04399999976158142
2015-04-16,11AB009,0.039000000804662704
2015-04-17,11AB009,0.03700000047683716
2015-04-18,11AB009,0.03400000184774399
2015-04-19,11AB009,0.032999999821186066
2015-04-20,11AB009,0.03200000151991844
2015-04-21,11AB009,0.03200000151991844
2015-04-22,11AB009,0.03099999949336052
2015-04-23,11AB009,0.03099999949336052
2015-04-24,11AB009,0.029999999329447743
2015-04-25,11AB009,0.029999999329447743
2015-04-26,11AB009,0.028999999165534973
2015-04-27,11AB009,0.028999999165534973
2015-04-28,11AB009,0.02800000086426735
2015-04-29,11AB009,0.02800000086426735
2015-04-30,11AB009,0.027000000700354576
2015-05-01,11AB009,0.027000000700354576
2015-05-02,11AB009,0.026000000536441803
2015-05-03,11AB009,0.026000000536441803
2015-05-04,11AB009,0.02500000037252903
2015-05-05,11AB009,0.026000000536441803
2015-05-06,11AB009,0.026000000536441803
2015-05-07,11AB009,0.026000000536441803
2015-05-08,11AB009,0.026000000536441803
2015-05-09,11AB009,0.026000000536441803
2015-05-10,11AB009,0.02500000037252903
2015-05-11,11AB009,0.02500000037252903
2015-05-12,11AB009,0.02500000037252903
2015-05-13,11AB009,0.02500000037252903
2015-05-14,11AB009,0.02500000037252903
2015-05-15,11AB009,0.02500000037252903
2015-05-16,11AB009,0.024000000208616257
2015-05-17,11AB009,0.023000000044703484
2015-05-18,11AB009,0.023000000044703484
2015-05-19,11AB009,0.02199999988079071
2015-05-20,11AB009,0.019999999552965164
2015-05-21,11AB009,0.019999999552965164
2015-05-22,11AB009,0.01899999938905239
2015-05-23,11AB009,0.019999999552965164
2015-05-24,11AB009,0.019999999552965164
2015-05-25,11AB009,0.019999999552965164
2015-05-26,11AB009,0.019999999552965164
2015-05-27,11AB009,0.019999999552965164
2015-05-28,11AB009,0.019999999552965164
2015-05-29,11AB009,0.019999999552965164
2015-05-30,11AB009,0.019999999552965164
2015-05-31,11AB009,0.019999999552965164
2015-06-01,11AB009,0.01899999938905239
2015-06-02,11AB009,0.017999999225139618
2015-06-03,11AB009,0.01899999938905239
2015-06-04,11AB009,0.017999999225139618
2015-06-05,11AB009,0.017000000923871994
2015-06-06,11AB009,0.01600000075995922
2015-06-07,11AB009,0.014999999664723871
2015-06-08,11AB009,0.014999999664723871
2015-06-09,11AB009,0.014000000432133676
2015-06-10,11AB009,0.014000000432133676
2015-06-11,11AB009,0.014999999664723871
2015-06-12,11AB009,0.014000000432133676
2015-06-13,11AB009,0.017999999225139618
2015-06-14,11AB009,0.020999999716877937
2015-06-15,11AB009,0.020999999716877937
2015-06-16,11AB009,0.023000000044703484
2015-06-17,11AB009,0.02500000037252903
2015-06-18,11AB009,0.02500000037252903
2015-06-19,11AB009,0.019999999552965164
2015-06-20,11AB009,0.014999999664723871
2015-06-21,11AB009,0.014000000432133676
2015-06-22,11AB009,0.0130000002682209
2015-06-23,11AB009,0.012000000104308128
2015-06-24,11AB009,0.012000000104308128
2015-06-25,11AB009,0.010999999940395355
2015-06-26,11AB009,0.009999999776482582
2015-06-27,11AB009,0.009999999776482582
2015-06-28,11AB009,0.009999999776482582
2015-06-29,11AB009,0.009999999776482582
2015-06-30,11AB009,0.009999999776482582
2015-07-01,11AB009,0.009999999776482582
2015-07-02,11AB009,0.009999999776482582
2015-07-03,11AB009,0.009999999776482582
2015-07-04,11AB009,0.009999999776482582
2015-07-05,11AB009,0.012000000104308128
2015-07-06,11AB009,0.010999999940395355
2015-07-07,11AB009,0.009999999776482582
2015-07-08,11AB009,0.009999999776482582
2015-07-09,11AB009,0.008999999612569809
2015-07-10,11AB009,0.008999999612569809
2015-07-11,11AB009,0.008999999612569809
2015-07-12,11AB009,0.008999999612569809
2015-07-13,11AB009,0.008999999612569809
2015-07-14,11AB009,0.008999999612569809
2015-07-15,11AB009,0.00800000037997961
2015-07-16,11AB009,0.00800000037997961
2015-07-17,11AB009,0.00800000037997961
2015-07-18,11AB009,0.00800000037997961
2015-07-19,11AB009,0.007000000216066837
2015-07-20,11AB009,0.00800000037997961
2015-07-21,11AB009,0.00800000037997961
2015-07-22,11AB009,0.007000000216066837
2015-07-23,11AB009,0.006000000052154064
2015-07-24,11AB009,0.006000000052154064
2015-07-25,11AB009,0.006000000052154064
2015-07-26,11AB009,0.006000000052154064
2015-07-27,11AB009,0.007000000216066837
2015-07-28,11AB009,0.00800000037997961
2015-07-29,11AB009,0.00800000037997961
2015-07-30,11AB009,0.007000000216066837
2015-07-31,11AB009,0.006000000052154064
2015-08-01,11AB009,0.004999999888241291
2015-08-02,11AB009,0.006000000052154064
2015-08-03,11AB009,0.006000000052154064
2015-08-04,11AB009,0.004999999888241291
2015-08-05,11AB009,0.004999999888241291
2015-08-06,11AB009,0.004999999888241291
2015-08-07,11AB009,0.006000000052154064
2015-08-08,11AB009,0.006000000052154064
2015-08-09,11AB009,0.006000000052154064
2015-08-10,11AB009,0.007000000216066837
2015-08-11,11AB009,0.007000000216066837
2015-08-12,11AB009,0.007000000216066837
2015-08-13,11AB009,0.007000000216066837
2015-08-14,11AB009,0.007000000216066837
2015-08-15,11AB009,0.00800000037997961
2015-08-16,11AB009,0.00800000037997961
2015-08-17,11AB009,0.00800000037997961
2015-08-18,11AB009,0.00800000037997961
2015-08-19,11AB009,0.00800000037997961
2015-08-20,11AB009,0.00800000037997961
2015-08-21,11AB009,0.00800000037997961
2015-08-22,11AB009,0.00800000037997961
2015-08-23,11AB009,0.00800000037997961
2015-08-24,11AB009,0.00800000037997961
2015-08-25,11AB009,0.00800000037997961
2015-08-26,11AB009,0.00800000037997961
2015-08-27,11AB009,0.00800000037997961
2015-08-28,11AB009,0.00800000037997961
2015-08-29,11AB009,0.00800000037997961
2015-08-30,11AB009,0.008999999612569809
2015-08-31,11AB009,0.008999999612569809
2015-09-01,11AB009,0.008999999612569809
2015-09-02,11AB009,0.008999999612569809
2015-09-03,11AB009,0.008999999612569809
2015-09-04,11AB009,0.008999999612569809
2015-09-05,11AB009,0.008999999612569809
2015-09-06,11AB009,0.008999999612569809
2015-09-07,11AB009,0.008999999612569809
2015-09-08,11AB009,0.008999999612569809
2015-09-09,11AB009,0.008999999612569809
2015-09-10,11AB009,0.008999999612569809
2015-09-11,11AB009,0.008999999612569809
2015-09-12,11AB009,0.008999999612569809
2015-09-13,11AB009,0.008999999612569809
2015-09-14,11AB009,0.008999999612569809
2015-09-15,11AB009,0.008999999612569809
2015-09-16,11AB009,0.008999999612569809
2015-09-17,11AB009,0.008999999612569809
2015-09-18,11AB009,0.008999999612569809
2015-09-19,11AB009,0.008999999612569809
2015-09-20,11AB009,0.008999999612569809
2015-09-21,11AB009,0.008999999612569809
2015-09-22,11AB009,0.008999999612569809
2015-09-23,11AB009,0.009999999776482582
2015-09-24,11AB009,0.009999999776482582
2015-09-25,11AB009,0.009999999776482582
2015-09-26,11AB009,0.009999999776482582
2015-09-27,11AB009,0.009999999776482582
2015-09-28,11AB009,0.009999999776482582
2015-09-29,11AB009,0.009999999776482582
2015-09-30,11AB009,0.009999999776482582
2015-10-01,11AB009,0.009999999776482582
2015-10-02,11AB009,0.008999999612569809
2015-10-03,11AB009,0.012000000104308128
2015-10-04,11AB009,0.0130000002682209
2015-10-05,11AB009,0.012000000104308128
2015-10-06,11AB009,0.00800000037997961
2015-10-07,11AB009,0.006000000052154064
2015-10-08,11AB009,0.006000000052154064
2015-10-09,11AB009,0.008999999612569809
2015-10-10,11AB009,0.008999999612569809
2015-10-11,11AB009,0.008999999612569809
2015-10-12,11AB009,0.007000000216066837
2015-10-13,11AB009,0.006000000052154064
2015-10-14,11AB009,0.006000000052154064
2015-10-15,11AB009,0.006000000052154064
2015-10-16,11AB009,0.007000000216066837
2015-10-17,11AB009,0.007000000216066837
2015-10-18,11AB009,0.007000000216066837
2015-10-19,11AB009,0.008999999612569809
2015-10-20,11AB009,0.009999999776482582
2015-10-21,11AB009,0.00800000037997961
2015-10-22,11AB009,0.00800000037997961
2015-10-23,11AB009,0.00800000037997961
2015-10-24,11AB009,0.007000000216066837
2015-10-25,11AB009,0.00800000037997961
2015-10-26,11AB009,0.008999999612569809
2015-10-27,11AB009,0.008999999612569809
2015-10-28,11AB009,0.00800000037997961
2015-10-29,11AB009,0.008999999612569809
2015-10-30,11AB009,0.008999999612569809
2015-10-31,11AB009,0.00800000037997961
