,ID,COMID
0,05AA008,71040972
1,05AA022,71040646
2,05AA027,71041142
3,05AA030,71043018
4,05AB037,71035757
5,05AB040,71037214
6,05BA001,71029071
7,05BA002,71029992
8,05BB001,71028585
9,05BC001,71028221
10,05BC006,71039266
11,05BC008,71030474
12,05BD003,71031177
13,05BD004,71029118
14,05BE004,71028039
15,05BE007,71028140
16,05BE999,71028757
17,05BF005,71036211
18,05BF009,71035771
19,05BF016,71035238
20,05BF024,71028304
21,05BF025,71028304
22,05BG006,71028833
23,05BG010,71028968
24,05BH013,71028377
25,05BL019,71035362
26,05BL022,71036132
27,05BL027,71037856
28,05CA009,71028598
29,05CB002,71029434
30,05DA007,71029794
31,05DA010,71032880
32,07AA001,82042610
33,07AA002,82042468
34,07AA007,82043065
